PRICE,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32
43635.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44788.42,44212.104999999996,,,,,44212.104999999996,,,,,44212.104999999996,,,,,44212.104999999996,,,,,44788.42,,,,,43635.79,,,,
47488.08,46138.25,,,,,46396.08833333333,,,,,47124.08277777778,,,,,47366.74759259262,,,,,47488.08,,,,,44788.42,,,,
47363.68,47425.880000000005,45818.99250000001,,,,46879.88416666667,45818.99250000001,,,,47485.77930555557,45818.99250000001,,,,47546.06206018521,45818.99250000001,,,,47488.08,47488.08,,,,47363.68,43635.79,,,
48030.0,47696.84,46917.545,,,,47339.9305,46703.3955,,,,47979.49538333334,47234.037299999996,,,,48035.86688277779,47552.42238000001,,,,48030.0,48030.0,,,,47363.68,44788.42,,,
48141.61,48085.805,47755.8425,,,,47607.15700000001,47182.80033333333,,,,48211.6845888889,47856.164755555554,,,,48225.90739222224,48163.5698903704,,,,48141.61,48141.61,,,,48030.0,47363.68,,,
47520.84,47831.225,47764.0325,,,,47582.495,47279.38309523809,,,,47996.68470634921,47829.3453696145,,,,47870.88822120183,47960.77607459236,,,,48141.61,48141.61,,,,47520.84,47363.68,,,
47725.01,47622.925,47854.365,46836.67874999999,,,47618.123750000006,47390.78982142857,46836.67874999999,,,47955.48759226192,47886.816571853735,46836.67874999999,,,47803.52083033592,47944.937957623704,46836.67874999999,,,47725.01,48141.61,48141.61,,,47520.84,47520.84,43635.79,,
47683.45,47704.229999999996,47767.7275,47342.636249999996,,,47632.640694444446,47455.82541666666,47024.85013888888,,,47906.325750771604,47892.20724107142,47171.205663580244,,,47738.60143576877,47891.02226532108,47285.0377383402,,,47725.01,48141.61,48141.61,,,47683.45,47520.84,44788.42,,
47828.52,47755.985,47689.455,47722.64875,,,47671.81655555555,47530.364333333324,47185.58411111111,,,47922.105289506166,47939.100926190455,47431.25570864197,,,47769.208779602675,47916.03676035207,47601.77422672149,,,47828.52,47828.52,48141.61,,,47683.45,47520.84,47363.68,,
48239.99,48034.255,47869.2425,47816.6375,,,47775.120818181815,47659.38718181817,47377.29427272727,,,48064.42417901744,48099.37217927979,47735.15207566574,,,47971.248092911424,48106.06837463388,47966.45594033704,,,48239.99,48239.99,48239.99,,,47828.52,47683.45,47363.68,,
