PRICE,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32
46336.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46288.18,46312.275,,,,,46312.275,,,,,46312.275,,,,,46312.275,,,,,46336.37,,,,,46288.18,,,,
47722.78,47005.479999999996,,,,,47252.611666666664,,,,,47566.05722222222,,,,,47670.53907407408,,,,,47722.78,,,,,46288.18,,,,
49188.0,48455.39,47383.8325,,,,48220.30583333333,47383.8325,,,,48860.87569444445,47383.8325,,,,49076.67877314816,47383.8325,,,,49188.0,49188.0,,,,47722.78,46288.18,,,
48262.83,48725.415,47865.4475,,,,48237.3155,47735.4315,,,,48631.863216666665,47946.3909,,,,48613.73177722221,48072.96654000001,,,,49188.0,49188.0,,,,48262.83,46288.18,,,
49587.03,48924.93,48690.16,,,,48687.22033333333,48352.631,,,,49250.1887,48904.73693333333,,,,49350.38150703704,49216.55171555555,,,,49587.03,49587.03,,,,48262.83,47722.78,,,
48974.75,49280.89,49003.152500000004,,,,48769.37166666666,48530.37928571428,,,,49230.17145238094,49051.70372789115,,,,49228.76018529857,49252.441792938116,,,,49587.03,49587.03,,,,48974.75,48262.83,,,
48331.61,48653.18,48789.055,48086.443750000006,,,48659.931249999994,48480.686964285705,48086.443750000006,,,48923.45077678571,48834.411054846925,48086.443750000006,,,48774.4321322775,48859.26433992043,48086.443750000006,,,48974.75,49587.03,49587.03,,,48331.61,48262.83,46288.18,,
48844.13,48587.869999999995,48934.380000000005,48399.91374999999,,,48700.86430555555,48561.45208333332,48254.81847222223,,,48937.66075848765,48899.38813525131,48385.776589506175,,,48800.97275531734,48906.43888247483,48487.63290294925,,,48844.13,49587.03,49587.03,,,48331.61,48331.61,46288.18,,
48676.08,48760.104999999996,48706.6425,48698.401249999995,,,48695.90744444444,48584.37766666666,48339.070777777786,,,48881.379117901226,48873.06697486772,48511.239116049386,,,48730.96889178474,48839.31017767301,48625.692343593975,,,48844.13,48974.75,49587.03,,,48676.08,48331.61,47722.78,,
47467.43,48071.755000000005,48329.8125,48666.482500000006,,,48472.54790909091,48381.29627272727,48180.59063636364,,,48441.54874935721,48451.33911166863,48191.7900701561,,,48141.373337196965,48244.82734820594,48153.731789027814,,,48676.08,48844.13,49587.03,,,47467.43,47467.43,47467.43,,
48440.65,47954.04,48357.072499999995,48573.06375,,,48467.23159090909,48391.18856060606,48223.93386363637,,,48436.96869264616,48457.80116628952,48269.38608119069,,,48187.43606707157,48282.84950235567,48266.21483338535,,,48440.65,48844.13,49587.03,,,47467.43,47467.43,47467.43,,
48704.75,48572.7,48322.2275,48628.30375000001,,,48503.772884615384,48439.42878205128,48297.905576923076,,,48509.085373067464,48536.61194346786,48398.95659532702,,,48328.04463249401,48414.443313451855,48443.31837097988,,,48704.75,48704.75,49587.03,,,48440.65,47467.43,47467.43,,
49752.97,49228.86,48591.45,48649.04625000001,,,48682.22961538462,48627.07752747253,48505.77192307693,,,48839.74608900288,48871.21916190495,48770.558235555036,,,48815.02887008234,48892.46759876197,48948.927152463875,,,49752.97,49752.97,49752.97,,,48704.75,47467.43,47467.43,,
51666.33,50709.65,49641.175,48985.49375000001,,,49080.10966666667,49032.31119047619,48927.17966666667,,,49561.45332158027,49595.103114920785,49521.88118192547,,,49820.68195563844,49889.68201154075,49962.39408565643,,,51666.33,51666.33,51666.33,,,49752.97,48440.65,47467.43,,
50767.36,51216.845,50222.85250000001,49289.9625,48688.203125,,49291.01595833334,49249.192291666666,49157.202208333336,48688.203125,,49896.73466159107,49931.40618909735,49878.83575814311,48688.203125,,50232.38788369308,50293.65695000264,50375.35007913979,48688.203125,,51666.33,51666.33,51666.33,51666.33,,50767.36,48704.75,47467.43,46288.18,
50857.17,50812.265,50760.957500000004,49541.5925,48970.753124999996,,49475.269375,49438.36613970588,49357.198419117645,48943.37569852941,,50172.30359846271,50207.23767982639,50170.40114905361,49168.527969290655,,50549.04072402769,50603.33333005736,50689.298355926694,49367.191737609384,,50857.17,51666.33,51666.33,51666.33,,50767.36,49752.97,47467.43,46288.18,
50349.37,50603.270000000004,50910.057499999995,49750.753749999996,49224.5775,,49572.39166666667,49539.58879084967,49467.43970588235,49099.597287581695,,50278.30856900389,50313.00584975127,50288.27883183851,49438.596274082614,,50621.08172850567,50669.13133331756,50756.30870107701,49716.383371023425,,50857.17,51666.33,51666.33,51666.33,,50349.37,50349.37,47467.43,47467.43,
49574.89,49962.130000000005,50387.197499999995,50014.18625,49340.334375,,49572.65464912281,49543.304707602336,49478.75026315789,49149.6280994152,,50204.49980920107,50238.6342121351,50223.3052428915,49497.70739266178,,50444.91686673412,50487.404990890696,50573.814574011056,49754.37822753916,,50349.37,50857.17,51666.33,51666.33,,49574.89,49574.89,48440.65,47467.43,
49696.49,49635.69,50119.479999999996,50171.166249999995,49372.115000000005,,49585.03818421053,49558.623236842104,49500.5242368421,49204.314289473674,,50164.84400985991,50198.20646723738,50190.220294918145,49566.803224448224,,50334.38396065362,50371.92852139369,50456.3056634339,49810.77565339304,,49696.49,50857.17,51666.33,51666.33,,49574.89,49574.89,48704.75,47467.43,
49323.32,49509.905,49736.0175,50248.487499999996,49438.395625000005,,49560.112642857144,49536.213404761904,49483.64764285714,49215.64816666666,,50062.14718579162,50094.608384189836,50092.38906274907,49553.868806246806,,50145.175980720116,50178.32944421793,50259.88829495391,49752.64873660194,,49696.49,50349.37,51666.33,51666.33,,49323.32,49323.32,49323.32,47467.43,
49412.6,49367.96,49501.825,50205.941249999996,49427.49375000001,,49546.7024025974,49524.975822510816,49477.18876623376,49233.552878787865,,49990.906314119886,50022.39163812613,50024.71835102336,49557.30319851637,,50013.813735498494,50043.066089231135,50121.34325748016,49724.85738988315,,49412.6,49696.49,51666.33,51666.33,,49323.32,49323.32,49323.32,47467.43,
48000.36,48706.479999999996,49108.192500000005,49747.695,49366.59437499999,,49412.237845849806,49392.40053359683,49348.76887351779,49126.31871541501,,49695.04334368775,49725.51579710674,49731.434244541524,49324.007379913644,,49568.59504636498,49594.378922280266,49669.12879004198,49361.89186942996,,49412.6,49696.49,50857.17,51666.33,,48000.36,48000.36,48000.36,47467.43,
