PRICE,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32
59119.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58817.77,58968.395,,,,,58968.395,,,,,58968.395,,,,,58968.395,,,,,59119.02,,,,,58817.77,,,,
58584.32,58701.045,,,,,58712.345,,,,,58626.995,,,,,58598.54500000001,,,,,58817.77,,,,,58584.32,,,,
58974.65,58779.485,58873.94,,,,58843.4975,58873.94,,,,58866.39874999999,58873.94,,,,58906.29937499999,58873.94,,,,58974.65,59119.02,,,,58584.32,58584.32,,,
58918.99,58946.82,58823.932499999995,,,,58873.6945,58891.96000000001,,,,58905.55344999999,58902.77200000001,,,,58934.868445000015,58909.259199999986,,,,58974.65,58974.65,,,,58918.99,58584.32,,,
58720.44,58819.715,58799.6,,,,58822.60966666667,58834.78666666668,,,,58809.79241111111,58803.879111111135,,,,58799.551604074084,58780.3908740741,,,,58918.99,58974.65,,,,58720.44,58584.32,,,
59869.79,59295.115000000005,59120.9675,,,,59121.80404761905,59130.50190476191,,,,59326.35913718821,59319.65024943312,,,,59474.31023582225,59460.055723140074,,,,59869.79,59869.79,,,,58720.44,58720.44,,,
59417.63,59643.71,59231.7125,59052.82625,,,59195.76053571429,59202.283928571436,59052.82625,,,59404.64421896258,59397.98170493198,59052.82625,,,59518.85398819748,59508.19788397919,59052.82625,,,59869.79,59869.79,59869.79,,,59417.63,58720.44,58584.32,,
59542.78,59480.205,59387.66,59105.79625,,,59272.875972222224,59277.94972222223,59161.70486111111,,,59495.31973203262,59489.010276675486,59246.38822530864,,,59594.69627876363,59586.68279889543,59312.25306412892,,,59542.78,59869.79,59869.79,,,59417.63,58720.44,58584.32,,
59480.06,59511.42,59577.565,59188.58249999999,,,59314.312777777785,59318.371777777786,59225.37588888889,,,59525.41723007055,59519.55786578484,59344.05940246914,,,59595.84702144124,59589.79631040383,59423.95139303156,,,59542.78,59869.79,59869.79,,,59480.06,59417.63,58584.32,,
58850.0,59165.03,59322.6175,59221.7925,,,59229.89227272727,59233.21327272728,59157.12572727272,,,59333.542775016394,59328.1449315099,59198.3893788797,,,59303.25028158943,59298.677307741826,59200.41202954354,,,59480.06,59542.78,59869.79,,,58850.0,58850.0,58720.44,,
58950.01,58900.005000000005,59205.7125,59218.7125,,,59183.245227272724,59186.012727272726,59122.606439393945,,,59230.748107968204,59225.788655046126,59128.226742500774,,,59158.71467878434,59155.26919273169,59100.20949430384,,,58950.01,59542.78,59869.79,,,58850.0,58850.0,58720.44,,
59221.53,59085.770000000004,59125.4,59256.530000000006,,,59189.13519230769,59191.476923076916,59137.82544871795,,,59234.3137540796,59229.75702764257,59155.4587130825,,,59171.395659527174,59168.82101681613,59141.91662413394,,,59221.53,59480.06,59869.79,,,58950.01,58850.0,58720.44,,
59298.85,59260.19,59080.0975,59328.83125,,,59204.80873626374,59206.81593406593,59160.82895604396,,,59256.96768403056,59252.77517596993,59195.660474635864,,,59209.02107669554,59207.126427265845,59198.794330589124,,,59298.85,59298.85,59869.79,,,59221.53,58850.0,58850.0,,
59255.02,59276.935,59181.3525,59251.985,,,59211.50357142857,59213.24314285714,59173.38776190476,,,59262.51018330267,59258.64473345966,59214.459376430445,,,59219.957765838655,59218.59918678816,59222.583468065866,,,59298.85,59298.85,59542.78,,,59255.02,58950.01,58850.0,,
58829.99,59042.505,59151.347499999996,59178.53,59115.678125,,59163.814374999994,59165.3365,59130.46304166667,59115.678125,,59166.71711351483,59163.1445792772,59128.84157416831,59115.678125,,59087.39285904447,59086.460403530014,59098.59370757829,59115.678125,,59255.02,59298.85,59542.78,59869.79,,58829.99,58829.99,58829.99,58584.32,
58597.04,58713.515,58995.225,59060.3125,59083.054375,,59097.135036764696,59098.478088235286,59067.70738970588,59054.661875,,59040.86156642311,59037.55132427572,59010.90404900663,59000.82400735294,,58918.6552752524,58918.06395458402,58935.52486683819,58953.320006487884,,58829.99,59298.85,59480.06,59869.79,,58597.04,58597.04,58597.04,58584.32,
57051.94,57824.490000000005,58433.4975,58756.7975,58972.689999999995,,58869.89114379083,58871.08496732025,58843.73323529411,58832.13722222221,,58617.87570973266,58614.800625209486,58594.15323963987,58586.48164851124,,58335.25503872174,58334.93844934909,58355.79249553013,58373.75124235215,,58597.04,59255.02,59298.85,59869.79,,57051.94,57051.94,57051.94,57051.94,
57492.42,57272.18,57992.8475,58587.1,58904.44625000001,,58724.89418128654,58725.96233918127,58701.4897368421,58691.11435672514,,58369.67256330959,58366.80873422098,58350.910821062826,58345.138911117945,,58024.45906153037,58024.36481537527,58047.27322674751,58065.04129391057,,57492.42,58829.99,59298.85,59869.79,,57051.94,57051.94,57051.94,57051.94,
57614.52,57553.47,57688.979999999996,58420.16374999999,58819.43812500001,,58613.856763157884,58614.81810526314,58592.792763157886,58583.454921052624,,58194.22363066284,58191.55005027256,58179.44446264075,58175.18352790088,,57825.56111599525,57825.64751828419,57849.67818149288,57867.02931962415,,57614.52,58597.04,59298.85,59869.79,,57492.42,57051.94,57051.94,57051.94,
57275.55,57445.035,57358.6075,58176.916249999995,58716.72312500001,,58486.39897619047,58487.26876190475,58467.341071428564,58458.89254761904,,57991.41195381967,57988.91016339854,57979.85536415796,57976.80485404184,,57589.6828258995,57589.91642841873,57614.41869415201,57631.21248902555,,57614.52,57614.52,59298.85,59869.79,,57275.55,57051.94,57051.94,57051.94,
57918.11,57596.83,57575.149999999994,58004.323749999996,58666.57750000001,,58434.73634199133,58435.527056277046,58417.41097402597,58409.730497835495,,57937.78210874594,57935.43587070076,57928.85115159578,57926.776185689356,,57570.78543711431,57571.13921429177,57595.65952871802,57611.81347333916,,57918.11,57918.11,59255.02,59869.79,,57275.55,57275.55,57051.94,57051.94,
57953.86,57935.985,57690.509999999995,57841.67875,58546.831875,,58392.921007905126,58393.64296442687,58377.102193675884,58370.08958498023,,57901.00096816758,57898.79597199401,57894.22216505042,57892.93742302243,,57570.513488141536,57570.96546205589,57595.189625462015,57610.660388005075,,57953.86,57953.86,58829.99,59542.78,,57918.11,57275.55,57051.94,57051.94,
58202.01,58077.935,57837.38249999999,57763.181249999994,58470.855625000004,,58377.011757246364,58377.673550724634,58362.51117753623,58356.08295289855,,57911.50157438309,57909.42517843413,57906.49605316821,57905.85405836235,,57632.76375316064,57633.29594612136,57657.00905411482,57671.779771399575,,58202.01,58202.01,58597.04,59542.78,,57953.86,57275.55,57051.94,57051.94,
57467.12,57834.565,57885.27500000001,57621.941249999996,58341.12687500001,,58304.220416666656,58304.82926666666,58290.879883333335,58284.96591666667,,57808.983015099104,57807.02402282606,57805.44517824809,57805.327660360024,,57525.19517836653,57525.792807272184,57548.8511248591,57562.92270352545,,58202.01,58202.01,58202.01,59480.06,,57467.12,57467.12,57051.94,57051.94,
57250.0,57358.56,57718.2475,57646.698749999996,58201.748125000006,,58223.12653846153,58223.68855384615,58210.81220000001,58205.35315384616,,57691.12843405598,57689.27690154358,57688.80999530594,57689.121443882636,,57395.237474452326,57395.888325528955,57418.19933100028,57431.58444958283,,57467.12,58202.01,58202.01,59298.85,,57250.0,57250.0,57250.0,57051.94,
57756.36,57503.18,57668.8725,57679.691249999996,58133.395625000005,,58188.551239316235,58189.071623931624,58177.149074074085,58172.09440170941,,57663.94623602841,57662.19330706394,57662.644138314834,57663.30693680174,,57396.818589282215,57397.51252874936,57419.02062408259,57431.73957639065,,57756.36,58202.01,58202.01,59298.85,,57250.0,57250.0,57250.0,57051.94,
59018.29,58387.325,57872.942500000005,57855.1625,58137.663125,,58247.818293650795,58248.301507936514,58237.23056878308,58232.53694444445,,57815.718769622756,57814.05653456392,57815.2659449507,57816.216659569865,,57653.56961409962,57654.29820223156,57674.974399952844,57687.05220636173,,59018.29,59018.29,59018.29,59298.85,,57756.36,57250.0,57250.0,57051.94,
