PRICE,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32
47043.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47171.01,47107.33,,,,,47107.33,,,,,47107.33,,,,,47107.33,,,,,47171.01,,,,,47043.65,,,,
47713.31,47442.16,,,,,47511.316666666666,,,,,47645.97888888889,,,,,47690.86629629633,,,,,47713.31,,,,,47171.01,,,,
47488.49,47600.899999999994,47354.115,,,,47499.903333333335,47354.115,,,,47561.52777777778,47354.115,,,,47547.452592592614,47354.115,,,,47713.31,47713.31,,,,47488.49,47043.65,,,
48150.0,47819.244999999995,47630.7025,,,,47759.941999999995,47672.469,,,,47952.93986666665,47863.4814,,,,48023.31880888888,47978.08884000002,,,,48150.0,48150.0,,,,47488.49,47171.01,,,
48810.52,48480.259999999995,48040.579999999994,,,,48110.134666666665,48051.81933333333,,,,48472.26168888888,48432.06115555555,,,,48631.93375407404,48634.61906370366,,,,48810.52,48810.52,,,,48150.0,47488.49,,,
49561.24,49185.88,48502.56249999999,,,,48524.736190476186,48483.08238095238,,,,49079.54229478457,49062.72871655328,,,,49331.22168569267,49349.844731929596,,,,49561.24,49561.24,,,,48810.52,47488.49,,,
49846.27,49703.755,49092.00749999999,48223.06125,,,48855.119642857135,48823.87928571428,48223.06125,,,49519.01181037413,49514.211715986385,48223.06125,,,49789.585900961654,49812.563298521985,48223.06125,,,49846.27,49846.27,49846.27,,,49561.24,48150.0,47043.65,,
50072.61,49959.44,49572.659999999996,48601.68125,,,49125.67305555555,49101.375,48634.07208333333,,,49852.46406238976,49854.13022354497,48953.74717592593,,,50111.83189676011,50134.73251584048,49202.3833590535,,,50072.61,50072.61,50072.61,,,49846.27,48810.52,47171.01,,
49540.7,49806.655,49755.205,48897.8925,,,49208.67844444444,49189.24,48815.397666666664,,,49856.51556102292,49861.73617883597,49216.198207407404,,,50000.84671631461,50022.01077690516,49480.007512428005,,,50072.61,50072.61,50072.61,,,49540.7,49540.7,47488.49,,
49340.05,49440.375,49699.9075,49101.235,,,49232.564181818176,49216.659999999996,48910.789,,,49782.15560777908,49789.31869177488,49316.764169696966,,,49819.861897057934,49838.76723714513,49536.84193385982,,,49540.7,50072.61,50072.61,,,49340.05,49340.05,47488.49,,
49246.64,49293.345,49550.0,49321.003749999996,,,49234.91015151515,49221.65666666666,48966.76416666666,,,49694.857981230045,49703.03613203463,49351.72278030302,,,49651.57689209071,49668.17723117073,49517.60712038822,,,49340.05,50072.61,50072.61,,,49246.64,49246.64,48150.0,,
49476.83,49361.735,49401.05500000001,49486.8575,,,49272.12858974359,49260.9141025641,49045.235833333325,,,49692.80773954179,49701.453019019435,49437.36914743588,,,49622.957934955964,49637.399638439296,49583.803720210104,,,49476.83,49540.7,50072.61,,,49246.64,49246.64,48810.52,,
49305.11,49390.97,49342.1575,49548.68125,,,49276.84021978022,49267.2278021978,49082.36071428571,,,49641.46088821008,49650.24433027411,49450.29631004708,,,49533.539500249346,49546.036528309116,49555.07075670402,,,49476.83,49476.83,50072.61,,,49305.11,49246.64,49246.64,,
50168.54,49736.825,49549.28,49624.59375,,,49395.733523809526,49387.402761904756,49227.18461904761,,,49814.77896660747,49823.50205131692,49671.57618616779,,,49768.41523482717,49779.19368277167,49828.642548448064,,,50168.54,50168.54,50168.54,,,49305.11,49246.64,49246.64,,
50550.44,50359.490000000005,49875.23,49712.615,48967.838125,,49540.071833333335,49532.78241666666,49392.59154166666,48967.838125,,50033.032616614866,50041.576492818975,49926.165220188486,48967.838125,,50057.14027423024,50066.414608739535,50141.632634660185,48967.838125,,50550.44,50550.44,50550.44,50550.44,,50168.54,49305.11,49246.64,47043.65,
50528.49,50539.465,50138.145000000004,49769.6,49185.640625,,49656.35632352941,49649.924485294105,49526.22665441176,49151.444227941174,,50193.92568248024,50202.221083629185,50114.94029376493,49313.449612889264,,50254.55765302554,50262.52164666154,50353.7115072676,49456.39554078465,,50550.44,50550.44,50550.44,50550.44,,50528.49,49305.11,49246.64,47171.01,
