PRICE,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32
57362.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57163.87,57262.94,,,,,57262.94,,,,,57262.94,,,,,57262.94,,,,,57362.01,,,,,57163.87,,,,
57157.93,57160.9,,,,,57192.933333333334,,,,,57169.59777777777,,,,,57161.819259259224,,,,,57163.87,,,,,57157.93,,,,
58614.49,57886.21,57574.575,,,,57903.71166666667,57574.575,,,,58247.43305555556,57574.575,,,,58427.07226851852,57574.575,,,,58614.49,58614.49,,,,57157.93,57157.93,,,
57427.9,58021.195,57591.0475,,,,57713.387,57515.905,,,,57805.42503333333,57480.703,,,,57762.19854777779,57459.5818,,,,58614.49,58614.49,,,,57427.9,57157.93,,,
57184.07,57305.985,57596.097499999996,,,,57536.948000000004,57405.293333333335,,,,57480.68068888888,57308.08422222223,,,,57352.99280222221,57252.66534814818,,,,57427.9,58614.49,,,,57184.07,57157.93,,,
56300.12,56742.095,57381.645000000004,,,,57183.56857142858,57089.52952380953,,,,56890.963757369616,56794.54886621316,,,,56630.94562193067,56613.698565813655,,,,57184.07,58614.49,,,,56300.12,56300.12,,,
56810.43,56555.275,56930.63,57252.6025,,,57090.28392857143,57019.754642857144,57252.6025,,,56800.86683588434,56746.18798894558,57252.6025,,,56608.244025334025,56626.61076640953,57252.6025,,,56810.43,57427.9,58614.49,,,56300.12,56300.12,56300.12,,
56314.2,56562.315,56652.204999999994,57121.62625,,,56917.82083333333,56862.96472222222,57044.068611111106,,,56558.5806871693,56528.242942019395,56881.875586419745,,,56354.4561262592,56387.67333737596,56755.72545610422,,,56810.43,57184.07,58614.49,,,56314.2,56300.12,56300.12,,
56520.81,56417.505,56486.39,57041.243749999994,,,56838.418666666665,56794.533777777775,56939.41688888888,,,56487.50481640211,56472.01159805995,56725.94109135801,,,56330.866204393635,56369.31559473317,56583.994768834025,,,56520.81,56810.43,58614.49,,,56314.2,56300.12,56300.12,,
56616.28,56568.545,56565.42999999999,56973.5375,,,56798.02981818181,56762.123999999996,56880.66472727271,,,56477.873064659565,56471.725125685414,56657.93276069786,,,56374.879097623605,56413.98382738432,56534.221631233144,,,56616.28,56810.43,58614.49,,,56520.81,56314.2,56300.12,,
56480.34,56548.31,56482.907499999994,56706.76875,,,56745.081515151505,56715.159999999996,56813.94393939393,,,56434.16063469105,56434.02427140451,56572.73331068257,,,56356.02888971257,56393.625810919526,56454.241817681526,,,56616.28,56616.28,57427.9,,,56480.34,56314.2,56300.12,,
56323.01,56401.675,56485.11,56568.6575,,,56680.14743589743,56654.829230769225,56738.41564102563,,,56362.116316138985,56365.896040300846,56470.40577965054,,,56289.98848328968,56325.11487522879,56347.46747331881,,,56480.34,56616.28,57184.07,,,56323.01,56323.01,56300.12,,
56733.69,56528.350000000006,56538.33,56512.36,,,56687.79637362638,56666.09505494505,56737.74054945055,,,56421.75450331537,56428.09445526572,56507.43916120754,,,56404.49286039948,56436.79567730888,56434.38501846497,,,56733.69,56733.69,56810.43,,,56323.01,56323.01,56300.12,,
56959.77,56846.729999999996,56624.2025,56594.816249999996,,,56724.05952380953,56705.25171428571,56767.344476190476,,,56524.91796636538,56532.92029932553,56593.40667622113,,,56567.93814698955,56597.37465185288,56578.94152901476,,,56959.77,56959.77,56959.77,,,56733.69,56323.01,56314.2,,
55975.32,56467.545,56497.9475,56490.4275,56871.515,,56630.46708333334,56614.01025,56668.34141666667,56871.515,,56374.32483515304,56383.38398065985,56429.51816461016,56871.515,,56362.091888805066,56388.773541538794,56360.086390228345,56871.515,,56959.77,56959.77,56959.77,58614.49,,55975.32,55975.32,55975.32,55975.32,
53838.65,54906.985,55876.8575,56180.98375,56651.305,,56302.018014705885,56287.497279411764,56335.43654411765,56514.70735294118,,55786.202146934345,55795.90383241613,55830.97055181865,56199.87707612457,,55546.284588752686,55570.394170554464,55535.31656832663,55922.08565540401,,55975.32,56959.77,56959.77,58614.49,,53838.65,53838.65,53838.65,53838.65,
53601.05,53719.850000000006,55093.6975,55816.013750000006,56428.62875,,56001.910457516344,55989.0031372549,56031.615816993464,56190.967647058824,,55276.64519088427,55286.703058008236,55313.13873306175,55623.34988465975,,54877.207895735635,54898.95524101915,54860.10311072861,55151.72419016821,,53838.65,56959.77,56959.77,58614.49,,53601.05,53601.05,53601.05,53601.05,
52000.0,52800.525,53853.755000000005,55238.97875,56106.25812500001,,55580.6567251462,55569.10807017543,55607.23520467836,55749.813157894736,,54554.82393656526,54565.03872872574,54584.67831856279,54847.227459127695,,53928.503837057,53948.10239471179,53907.259254521254,54125.538420990226,,53601.05,55975.32,56959.77,58614.49,,52000.0,52000.0,52000.0,52000.0,
