PRICE,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32
33573.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33803.97,33688.97,,,,,33688.97,,,,,33688.97,,,,,33688.97,,,,,33803.97,,,,,33573.97,,,,
34183.33,33993.65,,,,,34018.543333333335,,,,,34128.40111111111,,,,,34165.020370370374,,,,,34183.33,,,,,33803.97,,,,
33160.17,33671.75,33680.36,,,,33589.35666666667,33680.36,,,,33429.69222222222,33680.36,,,,33313.240740740745,33680.36,,,,34183.33,34183.33,,,,33160.17,33160.17,,,
33838.13,33499.149999999994,33746.4,,,,33688.865999999995,33743.468,,,,33652.77293333333,33781.332800000004,,,,33657.04487111111,33804.05168000002,,,,33838.13,34183.33,,,,33160.17,33160.17,,,
33526.37,33682.25,33677.0,,,,33634.700666666664,33671.102000000006,,,,33574.528399999996,33648.10120000001,,,,33561.32355851851,33622.67005333334,,,,33838.13,34183.33,,,,33526.37,33160.17,,,
33550.32,33538.345,33518.7475,,,,33610.5919047619,33636.59285714287,,,,33550.391170068026,33595.514326530625,,,,33540.93880613325,33564.436557045694,,,,33550.32,33838.13,,,,33526.37,33160.17,,,
34223.38,33886.85,33784.55,33732.455,,,33763.78892857143,33783.28964285715,33732.455,,,33833.536145408165,33862.503334183675,33732.455,,,33923.90783610506,33929.414173524056,33732.455,,,34223.38,34223.38,34223.38,,,33550.32,33526.37,33160.17,,
34720.15,34471.765,34005.055,33875.7275,,,33976.31361111111,33991.480833333335,33951.94277777778,,,34195.85842173721,34215.017963624334,34122.655493827166,,,34382.6567541154,34379.31129119478,34255.43205075445,,,34720.15,34720.15,34720.15,,,34223.38,33526.37,33160.17,,
34708.47,34714.31,34300.58,33988.79,,,34122.74488888889,34134.87866666667,34103.24822222223,,,34415.525759612,34428.42663756614,34360.86275061729,,,34623.55327359215,34615.86997210927,34536.60544603567,,,34720.15,34720.15,34720.15,,,34708.47,33550.32,33160.17,,
35762.03,35235.25,34853.5075,34186.1275,,,34420.796727272726,34430.724363636364,34404.84490909091,,,34904.205307451135,34912.9555464384,34862.381357943064,,,35230.377762989236,35220.695448075785,35169.74331638663,,,35762.03,35762.03,35762.03,,,34708.47,34223.38,33160.17,,
35466.24,35614.134999999995,35164.2225,34474.386249999996,,,34595.03727272727,34603.3103030303,34581.744090909095,,,35143.07821075473,35148.991238193616,35110.44044980104,,,35468.74888857736,35458.31594985917,35425.875340203835,,,35762.03,35762.03,35762.03,,,35466.24,34708.47,33526.37,,
36403.47,35934.854999999996,35585.0525,34795.05375,,,34873.25769230769,34880.25794871795,34862.00961538462,,,35572.4019179759,35576.328286361066,35546.51582438786,,,35975.82604259873,35965.31715217637,35945.26137405363,,,36403.47,36403.47,36403.47,,,35466.24,34708.47,33526.37,,
36297.57,36350.520000000004,35982.3275,35141.45375,,,35076.73087912088,35082.731098901095,35067.089670329675,,,35850.402946962065,35852.91123132361,35829.592182285356,,,36260.076061358486,36249.85294040478,36238.228055958105,,,36403.47,36403.47,36403.47,,,36297.57,35466.24,33550.32,,
35969.41,36133.490000000005,36034.1725,35443.84,,,35195.75476190476,35200.95495238095,35187.39904761905,,,35969.42458577982,35970.90507349633,35952.50268496477,,,36324.47267348608,36314.721878233846,36308.908084152514,,,36297.57,36403.47,36403.47,,,35969.41,35466.24,34223.38,,
36850.0,36409.705,36380.1125,35772.167499999996,34752.31125,,35402.535416666666,35407.08558333333,35395.22416666667,34752.31125,,36260.42958547401,36261.15624139263,36246.536828510834,34752.31125,,36644.79296403274,36635.60141536387,36633.82444923625,34752.31125,,36850.0,36850.0,36850.0,36850.0,,35969.41,35969.41,34708.47,33160.17,
36788.89,36819.445,36476.4675,36030.76,34953.24375,,35565.63595588235,35569.65080882353,35559.18485294117,34991.908749999995,,36466.51363943209,36466.682470778964,36455.01427775177,35203.318308823524,,36843.58442763896,36834.982039485476,36836.01814571516,35389.85615484428,,36850.0,36850.0,36850.0,36850.0,,36788.89,35969.41,34708.47,33160.17,
37618.87,37203.880000000005,36806.792499999996,36394.56,35191.675,,35793.773071895426,35797.34183006536,35788.03875816993,35283.79333333333,,36797.34178261792,36797.095326240706,36787.75727376047,35731.16590413943,,37223.79672962203,37215.781017730864,37218.77323708787,36106.72222236462,,37618.87,37618.87,37618.87,37618.87,,36788.89,35969.41,35466.24,33160.17,
37498.78,37558.825,37189.135,36611.65375,35398.890625,,35973.24748538012,35976.44058479532,35968.11678362573,35516.9498245614,,37031.7597544076,37031.20312507901,37023.724215088245,36125.84424848672,,37462.484732842044,37455.035256930285,37459.37594910874,36606.387875479086,,37618.87,37618.87,37618.87,37618.87,,37498.78,36788.89,35466.24,33160.17,
37843.4,37671.09,37437.485,36908.79875,35691.5925,,36160.26273684211,36163.136526315786,36155.64510526316,35749.59484210526,,37281.23750528263,37280.44915993953,37274.46728305311,36506.980339427515,,37725.10623534539,37718.19316261174,37723.44711536626,37073.11156977789,,37843.4,37843.4,37843.4,37843.4,,37498.78,36788.89,35969.41,33526.37,
37321.75,37582.575,37570.7,37023.58375,35909.318750000006,,36270.88057142858,36273.48066666666,36266.70271428572,35899.3239047619,,37385.178640833954,37384.2177478818,37379.45109283037,36720.04660188566,,37780.733335573226,37774.32253621552,37780.17559893937,37289.565657737345,,37843.4,37843.4,37843.4,37843.4,,37321.75,37321.75,35969.41,33526.37,
36564.23,36942.990000000005,37307.04,37056.91625,36099.185000000005,,36297.54870129871,36299.91242424242,36293.75064935065,35959.76991341991,,37334.79070064008,37333.70227768869,37329.92911626846,36760.832373221514,,37624.33490489031,37618.390969111286,37624.61511125224,37260.704026430176,,37321.75,37843.4,37843.4,37843.4,,36564.23,36564.23,35969.41,33550.32,
37467.18,37015.705,37299.14,37244.1375,36343.988750000004,,36399.25577075099,36401.41395256917,36395.78798418972,36090.8490513834,,37439.16579008433,37437.98434462279,37435.02849883731,36941.93485803848,,37705.96825569678,37700.4562503023,37706.88540740187,37444.012901573486,,37467.18,37843.4,37843.4,37843.4,,36564.23,36564.23,36564.23,34223.38,
36936.66,37201.92,37072.455,37254.97,36513.568750000006,,36444.03945652174,36446.017789855076,36440.86065217391,36161.333297101446,,37438.342019533826,37437.09416674964,37434.81440291971,37006.105845110156,,37641.10411138409,37635.99056639338,37642.50370219391,37460.55689792473,,37467.18,37467.18,37843.4,37843.4,,36936.66,36564.23,36564.23,34708.47,
37366.02,37151.34,37083.5225,37327.11125,36678.935625000006,,36517.797900000005,36519.61796666667,36514.873400000004,36257.70823333333,,37500.41402597112,37499.12039607634,37497.40257868614,37123.563918834676,,37676.203628395684,37671.457052062484,37677.966127723506,37561.0553739173,,37366.02,37467.18,37843.4,37843.4,,36936.66,36564.23,36564.23,34708.47,
37653.98,37510.0,37355.96,37331.5,36863.03,,36605.19652307693,36606.87658461539,36602.49698461539,36365.113753846155,,37592.90244527511,37591.57908986928,37590.33030458602,37263.50871324385,,37759.86804403046,37755.45915002039,37761.90048026775,37697.38323230138,,37653.98,37653.98,37843.4,37843.4,,37366.02,36936.66,36564.23,35466.24,
37691.32,37672.65,37411.995,37355.5675,36983.610625,,36685.65011396012,36687.20572649573,36683.15054131055,36463.35125356125,,37674.68670014658,37673.346140508904,37672.49024192702,37386.159086073094,,37830.51657305734,37826.418333944435,37832.746312600706,37810.49926400982,,37691.32,37691.32,37843.4,37843.4,,37653.98,36936.66,36564.23,35466.24,
37960.76,37826.04,37668.020000000004,37370.2375,37139.518124999995,,36776.7293915344,36778.1738888889,36774.408359788365,36570.30902116402,,37779.69412216938,37778.34613840907,37777.820341804494,37526.51993555616,,37937.32656686013,37933.51416528428,37939.69666872975,37951.56724824341,,37960.76,37960.76,37960.76,37960.76,,37691.32,37366.02,36564.23,35969.41,
37608.92,37784.84,37728.745,37406.13375,37214.85874999999,,36834.12184729065,36835.466724137936,36831.96088669951,36641.937364532016,,37821.350951861794,37820.003182371336,37819.755429493875,37598.891156239726,,37953.46178299722,37949.91250516058,37955.92749735574,37995.31650555269,,37960.76,37960.76,37960.76,37960.76,,37608.92,37608.92,36564.23,35969.41,
38290.24,37949.58,37887.81,37621.885,37339.400624999995,,36931.19639080461,36932.45160919541,36929.17949425288,36751.82420689655,,37943.21312901738,37941.87152960022,37941.85843457743,37747.54213203064,,38089.65169614264,38086.34479556349,38092.177802276674,38153.71898258736,,38290.24,38290.24,38290.24,38290.24,,37608.92,37608.92,36936.66,35969.41,
39384.74,38837.49,38311.165,37861.58,37552.85875,,37089.489526881734,37090.66376344086,37087.60275268818,36921.68974193548,,38184.29553831422,38182.964736500784,38183.14997088288,38012.07426919411,,38398.7344857337,38395.651034563154,38401.29325222199,38480.60524105723,,39384.74,39384.74,39384.74,39384.74,,38290.24,37608.92,36936.66,36564.23,
39359.12,39371.93,38660.755,38164.3875,37709.67875,36230.995,37231.34143145163,37232.442278225804,37229.57258064517,37074.02913306451,36230.995,38390.70822770386,38389.39179808037,38389.74481141237,38239.08280655295,36230.995,38652.27047667813,38649.393215133816,38654.840086954515,38748.33291726507,36230.995,39384.74,39384.74,39384.74,39384.74,39384.74,39359.12,37608.92,37366.02,36564.23,33160.17
40199.99,39779.555,39308.5225,38518.63375,37922.8725,36438.058125,37411.25952651517,37412.29365530303,37409.597878787885,37263.48130681818,36471.54015151515,38669.37563653907,38668.07631605713,38668.57131503659,38535.89589059107,36697.50680899908,39007.850134876164,39005.16332504327,39010.41346387699,39115.136546678754,36909.77851754458,40199.99,40199.99,40199.99,40199.99,40199.99,39359.12,38290.24,37608.92,36564.23,33160.17
40864.73,40532.36,39952.145,38919.97749999999,38125.73875,36658.70687500001,37614.40484848486,37615.37814616755,37612.84094474153,37475.31946524064,36729.96308377897,38989.70972565531,38988.42958298508,38989.04471152022,38872.26322260096,37185.85916824743,39418.56926963992,39416.05855714937,39421.11292739821,39534.63482700107,37602.0484722757,40864.73,40864.73,40864.73,40864.73,40864.73,40199.99,39359.12,37608.92,36564.23,33160.17
40179.42,40522.075,40150.815,39230.99,38293.27875,36846.084687500006,37760.977142857155,37761.89482352941,37759.50260504201,37629.83949579831,36927.07490756302,39195.889904597454,39194.6304740414,39195.3471505738,39092.64821012099,37542.768078201116,39656.44490866309,39654.09719402252,39658.95848836882,39779.27125369132,38085.84096038772,40864.73,40864.73,40864.73,40864.73,40864.73,40179.42,39359.12,37608.92,36564.23,33160.17
39186.94,39683.18,40107.770000000004,39384.2625,38377.25,37034.42125,37840.19730158731,37841.06399999999,37838.804682539674,37716.34507936507,37052.62296825396,39270.211726476075,39268.974114372424,39269.77649317859,39179.58636070509,37752.684131175825,39700.55413440052,39698.35745466724,39703.02961814174,39828.47221514901,38345.267179286726,40179.42,40864.73,40864.73,40864.73,40864.73,39186.94,39186.94,37608.92,36564.23,33526.37
38841.46,39014.2,39768.1375,39538.33,38472.231875,37190.7753125,37894.319609609614,37895.139459459446,37893.00226726726,37777.16210210209,37149.31686186186,39298.23273533631,39297.0177049761,39297.89223585719,39218.83887622903,37903.00407749812,39680.62297335477,39678.56639417517,39683.05426023544,39812.250961447375,38514.28295665719,39186.94,40864.73,40864.73,40864.73,40864.73,38841.46,38841.46,38290.24,36564.23,33526.37
39030.0,38935.729999999996,39309.455,39630.8,38626.3425,37362.76375,37954.09226173542,37954.86896159316,37952.84425320056,37843.10093883356,37248.30018492176,39340.74194601674,39339.54998568298,39340.48505222256,39271.36835964678,38056.09332684444,39686.65154277018,39684.72506041456,39689.03407256919,39820.84463197751,38686.457879371745,39030.0,40179.42,40864.73,40864.73,40864.73,38841.46,38841.46,38841.46,36936.66,33550.32
39046.6,39038.3,39026.25,39588.5325,38725.056249999994,37534.5225,38010.118299595146,38010.85516869094,38008.934291497964,37904.818839406194,37340.52068825911,39378.810651369975,39377.64202904842,39378.62764998048,39318.39465713124,38194.37978760837,39689.94485078376,39688.13930358618,39692.27530261802,39825.75447154083,38836.121553462064,39046.6,39186.94,40864.73,40864.73,40864.73,39030.0,38841.46,38841.46,36936.66,34223.38
37921.11,38483.854999999996,38709.7925,39408.78125,38786.584375,37650.0765625,38005.66788461539,38006.3679102564,38004.543076923066,37905.633397435886,37369.550153846154,39301.69772457071,39300.55253208319,39301.58011363531,39249.30425440289,38208.29429053565,39528.245827785264,39526.5528162899,39530.52187795923,39664.88636537184,38803.58975356987,39046.6,39046.6,40864.73,40864.73,40864.73,37921.11,37921.11,37921.11,37366.02,34708.47
38050.0,37985.555,38511.927500000005,39140.0325,38829.333125,37754.13437500001,38007.83042682927,38008.49630487804,38006.76048780487,37912.675670731696,37402.742829268296,39242.69635133169,39241.5745400363,39242.63666966263,39197.50035561583,38232.1461383501,39400.013017739126,39398.424832816534,39402.23314452377,39536.834541385535,38789.51762082899,38050.0,39046.6,40864.73,40864.73,40864.73,37921.11,37921.11,37921.11,37608.92,34708.47
38795.69,38422.845,38453.350000000006,38881.402500000004,38900.689999999995,37881.86,38045.347549361206,38045.98171893146,38044.32855981416,37954.72397212542,37469.07364692218,39257.14092748916,39256.04233722831,39257.1326111161,39218.4125304853,38322.15376762284,39384.992470377714,39383.50202857957,39387.155796168794,39521.45830119526,38875.53309533497,38795.69,39046.6,40179.42,40864.73,40864.73,38050.0,37921.11,37921.11,37608.92,35466.24
38076.06,38435.875,38210.715,38618.4825,38924.73625,37954.1734375,38046.77603543743,38047.380708748606,38045.80444075304,37960.36750830564,37497.30557032115,39203.56897572514,39202.493358345666,39203.60623661057,39170.66090077409,38337.62635655567,39273.03165728281,39271.63244273428,39275.137820655684,39408.699849554534,38853.101233836736,38795.69,38795.69,39186.94,40864.73,40864.73,38076.06,37921.11,37921.11,37608.92,35466.24
39269.95,38673.005,38547.925,38628.85875,39006.560625,38073.039375,38102.37485200846,38102.952040169126,38101.44742071881,38019.89398520083,37577.880317124735,39259.65789264635,39258.60493114045,39259.73561582287,39231.99476959341,38456.91696229747,39326.4310026493,39325.1170148232,39328.48005441942,39460.93900390232,38985.917210506785,39269.95,39269.95,39269.95,40864.73,40864.73,38076.06,38050.0,37921.11,37608.92,35969.41
