PRICE,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32
58178.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57725.14,57951.905,,,,,57951.905,,,,,57951.905,,,,,57951.905,,,,,58178.67,,,,,57725.14,,,,
57816.9,57771.020000000004,,,,,57861.90166666667,,,,,57831.90055555556,,,,,57821.90018518519,,,,,57816.9,,,,,57725.14,,,,
57356.58,57586.740000000005,57769.3225,,,,57609.24083333334,57769.3225,,,,57467.90986111111,57769.3225,,,,57407.24474537034,57769.3225,,,,57816.9,58178.67,,,,57356.58,57356.58,,,
57770.31,57563.445,57667.2325,,,,57673.6685,57769.7175,,,,57627.526516666665,57769.95449999999,,,,57648.24084055556,57770.09669999999,,,,57770.31,57816.9,,,,57356.58,57356.58,,,
57800.37,57785.34,57686.04,,,,57715.90233333334,57779.935000000005,,,,57713.29690000001,57786.90466666667,,,,57756.130815925964,57791.48791111114,,,,57800.37,57816.9,,,,57770.31,57356.58,,,
56450.19,57125.28,57344.3625,,,,57354.27023809524,57400.00785714286,,,,57094.10057482993,57133.60965986395,,,,56940.72177911131,56941.62064593457,,,,57800.37,57800.37,,,,56450.19,56450.19,,,
56633.02,56541.604999999996,57163.472499999996,57466.3975,,,57173.95767857142,57208.26089285714,57466.3975,,,56843.596011479574,56864.652021683665,57466.3975,,,56675.91791182071,56662.75225581569,57466.3975,,,56633.02,57800.37,58178.67,,,56450.19,56450.19,56450.19,,
57090.0,56861.509999999995,56993.395,57330.31375,,,57155.30041666666,57181.98069444444,57382.75361111111,,,56883.84124966929,56894.28919587741,57317.697253086415,,,56799.238005563646,56780.74733445179,57267.09786351163,,,57090.0,57800.37,57816.9,,,56633.02,56450.19,56450.19,,
56595.2,56842.6,56692.1025,57189.07125,,,57043.28033333333,57064.62455555556,57225.24288888889,,,56736.496933068775,56740.58644559082,57047.18922469135,,,56640.55495117052,56620.67566733218,56916.311868093246,,,57090.0,57090.0,57816.9,,,56595.2,56450.19,56450.19,,
56836.4,56715.8,56788.655,57066.50875,,,57005.66572727272,57023.12918181818,57154.54418181818,,,56723.88554027941,56724.05633151645,56951.01951441689,,,56665.84472958458,56646.37363448365,56823.0981291245,,,56836.4,57090.0,57800.37,,,56595.2,56595.2,56450.19,,
