Profit (%),Buy_1,Buy_value_1,Buy_trend,Buy_2,Buy_value_2,Sell_1,Sell_value_1,Sell_trend,Sell_2,Sell_value_2
12.39736487213419,TEMA,2,UP,TEMA,4,SMA,8,UP,EMA,16
13.965417557060718,SMA,4,UP,EMA,2,DEMA,16,UP_DOWN,SMA,8
15.212761375225199,SMA,2,UP,DEMA,2,SMA,16,UP,EMA,8
21.071034053038602,SMA,8,DOWN,SMA,2,SMA,8,UP,TEMA,4
13.708915484583002,DEMA,8,DOWN,TEMA,4,DEMA,32,UP,EMA,16
20.064314305569255,SMA,4,UP,TEMA,8,SMA,64,UP,EMA,16
14.957354731733702,SMA,2,UP_DOWN,EMA,16,DEMA,8,UP_DOWN,SMA,8
12.431704082888047,SMA,4,UP_DOWN,TEMA,4,TEMA,32,UP,DEMA,4
18.175999199189434,SMA,2,DOWN,SMA,4,EMA,32,DOWN,SMA,8
25.783136519161417,EMA,4,DOWN,SMA,4,DEMA,32,UP,DEMA,8
13.152770204321754,TEMA,32,UP_DOWN,SMA,4,TEMA,4,UP,SMA,4
18.736501707241587,TEMA,16,UP,TEMA,2,TEMA,8,UP_DOWN,SMA,16
11.582847860661289,TEMA,16,UP,TEMA,2,DEMA,2,UP_DOWN,SMA,8
15.401161552568723,SMA,2,UP,EMA,8,DEMA,2,DOWN,TEMA,2
11.737240817380751,SMA,16,DOWN,TEMA,4,DEMA,16,UP_DOWN,SMA,2
14.830030826384856,SMA,2,UP,DEMA,2,SMA,32,UP_DOWN,SMA,2
11.165670384774813,EMA,8,UP,SMA,16,TEMA,32,UP,TEMA,4
11.755101813316543,DEMA,16,UP,EMA,8,DEMA,16,UP_DOWN,SMA,8
12.80448241690371,SMA,8,DOWN,TEMA,4,SMA,32,UP_DOWN,SMA,2
12.72143601042842,SMA,16,DOWN,SMA,4,DEMA,8,UP_DOWN,SMA,4
16.591778479040443,SMA,4,UP,TEMA,4,DEMA,32,DOWN,TEMA,8
14.376510558354113,TEMA,4,UP,DEMA,2,DEMA,8,DOWN,TEMA,2
18.208238507204968,SMA,4,UP,TEMA,16,TEMA,4,UP_DOWN,SMA,8
25.30265215407863,SMA,16,DOWN,SMA,2,SMA,4,UP_DOWN,SMA,32
11.944075632897764,SMA,2,UP_DOWN,SMA,4,TEMA,8,UP,SMA,8
10.022849384770439,TEMA,16,UP,SMA,16,SMA,2,UP,DEMA,2
11.562159503006953,SMA,8,UP_DOWN,TEMA,2,SMA,8,UP_DOWN,SMA,2
13.698879966462314,TEMA,16,UP,EMA,2,SMA,4,UP,SMA,32
21.71391934986312,TEMA,2,UP_DOWN,SMA,2,SMA,2,UP,SMA,64
12.8353523811859,TEMA,4,UP,DEMA,4,DEMA,16,UP_DOWN,SMA,8
10.119255246723526,TEMA,32,UP,EMA,2,SMA,4,UP,EMA,16
17.935724406392097,DEMA,2,UP_DOWN,SMA,2,EMA,32,DOWN,SMA,8
19.415869634625864,DEMA,16,UP,SMA,8,SMA,2,UP,SMA,64
11.972557419049366,TEMA,4,DOWN,SMA,2,TEMA,8,UP_DOWN,SMA,4
23.32697546018578,SMA,4,UP_DOWN,DEMA,2,SMA,16,UP,EMA,16
21.76964301568495,EMA,2,DOWN,SMA,4,DEMA,4,DOWN,SMA,16
13.36217535321731,EMA,8,DOWN,SMA,2,SMA,2,UP_DOWN,SMA,8
19.331392700820047,DEMA,2,DOWN,TEMA,2,SMA,8,DOWN,SMA,2
22.6931508578661,SMA,2,UP,DEMA,8,DEMA,32,UP,DEMA,2
12.72143601042842,SMA,8,DOWN,TEMA,8,SMA,16,UP,SMA,8
13.303843024710929,SMA,8,UP_DOWN,EMA,2,TEMA,32,UP,EMA,16
17.890645168452835,SMA,16,UP,EMA,8,DEMA,2,DOWN,SMA,8
21.32455947880689,DEMA,8,UP_DOWN,SMA,2,TEMA,16,UP_DOWN,SMA,16
12.524966013456918,SMA,2,UP,EMA,2,SMA,32,UP,EMA,8
24.847857215471535,DEMA,16,UP_DOWN,SMA,4,SMA,4,UP_DOWN,SMA,32
18.671229107522862,EMA,8,DOWN,SMA,2,DEMA,2,DOWN,TEMA,2
10.785583525257664,TEMA,8,UP_DOWN,SMA,8,TEMA,2,DOWN,TEMA,16
17.353571154998306,TEMA,4,UP,DEMA,4,DEMA,32,DOWN,TEMA,8
11.876155056340338,SMA,2,DOWN,TEMA,2,TEMA,8,UP_DOWN,SMA,4
11.446739976252104,SMA,16,UP_DOWN,SMA,2,SMA,16,UP,DEMA,16
19.563528018965386,SMA,16,DOWN,SMA,2,DEMA,4,DOWN,TEMA,16
13.110417929421473,DEMA,4,UP_DOWN,TEMA,2,DEMA,2,UP_DOWN,SMA,16
14.200742146495244,SMA,4,UP,TEMA,16,TEMA,32,UP_DOWN,SMA,4
18.603047564909375,SMA,4,UP,SMA,16,SMA,32,DOWN,SMA,4
12.02486261061425,TEMA,4,UP,SMA,16,SMA,2,UP,SMA,32
17.353571154998306,SMA,2,UP,TEMA,4,DEMA,32,DOWN,TEMA,8
21.7912461021062,TEMA,8,UP,EMA,4,SMA,64,UP,EMA,8
11.966914859214796,TEMA,32,UP,DEMA,8,SMA,8,UP_DOWN,SMA,64
19.296203006935073,SMA,4,UP,DEMA,16,SMA,64,UP_DOWN,SMA,4
19.9456119278193,TEMA,16,UP,SMA,16,SMA,64,UP,EMA,4
18.824236765440205,SMA,2,UP,EMA,8,DEMA,4,DOWN,SMA,16
18.994346212452726,SMA,4,UP,DEMA,16,SMA,4,DOWN,SMA,8
10.628691567803841,TEMA,2,UP,DEMA,8,SMA,16,DOWN,SMA,8
11.876155056340338,DEMA,2,DOWN,TEMA,2,SMA,8,UP,TEMA,2
21.460131071078465,DEMA,4,UP_DOWN,TEMA,2,SMA,16,UP,TEMA,2
13.418847838446894,DEMA,8,UP_DOWN,SMA,4,TEMA,32,UP,TEMA,8
11.43648249373716,SMA,2,DOWN,SMA,4,TEMA,2,UP,TEMA,4
14.236195632846119,TEMA,16,UP_DOWN,SMA,8,SMA,2,UP_DOWN,SMA,32
10.04039860690574,SMA,16,UP,SMA,8,DEMA,16,DOWN,SMA,8
22.850274653406657,SMA,8,DOWN,TEMA,8,SMA,64,UP,EMA,16
15.476012666675004,DEMA,8,UP_DOWN,SMA,8,TEMA,2,UP,TEMA,8
25.409357820212293,SMA,2,UP,DEMA,8,TEMA,16,UP_DOWN,SMA,8
20.6719511900384,TEMA,2,UP,SMA,16,SMA,8,UP,SMA,32
11.682286099600418,TEMA,8,UP,EMA,4,DEMA,32,UP_DOWN,SMA,8
16.329386608379764,SMA,4,UP,EMA,8,DEMA,4,DOWN,TEMA,2
13.255683347513894,TEMA,2,UP,TEMA,4,SMA,4,UP_DOWN,SMA,64
12.81372310469311,TEMA,32,UP_DOWN,SMA,2,SMA,64,UP,EMA,16
11.337885453772458,TEMA,2,UP,DEMA,2,TEMA,32,UP,EMA,4
18.82705723855389,SMA,4,UP,DEMA,4,DEMA,16,DOWN,SMA,8
19.282437385433553,SMA,8,UP_DOWN,EMA,2,DEMA,32,DOWN,TEMA,2
13.28804115889183,DEMA,8,DOWN,TEMA,8,DEMA,4,UP_DOWN,SMA,16
13.243739933464468,SMA,4,UP_DOWN,DEMA,2,DEMA,32,UP,EMA,4
14.356741744675475,SMA,2,UP,TEMA,8,TEMA,2,UP_DOWN,SMA,4
21.297121351081728,SMA,4,UP_DOWN,DEMA,2,DEMA,16,DOWN,SMA,8
19.36543958623264,SMA,16,DOWN,SMA,4,DEMA,4,DOWN,TEMA,4
11.994806761282547,EMA,2,DOWN,TEMA,4,DEMA,16,UP,DEMA,2
12.550805605191826,SMA,2,UP,TEMA,16,TEMA,32,UP,TEMA,16
20.774913620439534,TEMA,8,UP,SMA,8,EMA,8,UP_DOWN,SMA,16
23.113965386923738,SMA,8,UP_DOWN,TEMA,2,TEMA,16,UP,SMA,4
10.86808786488676,SMA,2,UP_DOWN,SMA,16,SMA,16,UP,DEMA,2
16.329386608379764,SMA,2,UP,EMA,4,DEMA,4,DOWN,TEMA,2
13.304203432820216,TEMA,8,DOWN,SMA,2,SMA,32,UP,EMA,8
