Profit (%),Buy_1,Buy_value_1,Buy_trend,Buy_2,Buy_value_2,Sell_1,Sell_value_1,Sell_trend,Sell_2,Sell_value_2
16.28981143908375,DEMA,2,DOWN,SMA,8,SMA,2,UP_DOWN,SMA,16
10.83364941068649,DEMA,16,DOWN,SMA,4,SMA,8,UP,DEMA,32
10.762520086566099,TEMA,8,DOWN,SMA,8,SMA,8,UP,TEMA,2
12.556888818998146,SMA,2,UP_DOWN,SMA,4,SMA,4,UP,EMA,16
10.38152845962631,DEMA,32,DOWN,SMA,16,SMA,2,UP_DOWN,SMA,16
11.09468850394397,TEMA,2,DOWN,SMA,8,SMA,2,UP,SMA,8
11.065856287784158,SMA,2,UP_DOWN,SMA,16,SMA,4,UP,EMA,2
13.873033193132443,TEMA,16,DOWN,SMA,2,SMA,2,UP_DOWN,SMA,16
18.26928232273022,DEMA,2,DOWN,SMA,8,SMA,4,UP,EMA,8
10.565934916048647,DEMA,16,DOWN,SMA,2,SMA,4,UP,EMA,2
16.55113612347725,TEMA,8,DOWN,SMA,4,SMA,2,UP_DOWN,SMA,16
13.274946968982405,SMA,32,DOWN,SMA,16,SMA,2,UP,EMA,8
17.587728309103895,DEMA,16,DOWN,SMA,8,SMA,2,UP,EMA,2
13.274946968982405,SMA,32,DOWN,SMA,16,SMA,2,UP,EMA,16
10.962944616281717,DEMA,4,DOWN,SMA,8,SMA,2,UP_DOWN,SMA,32
13.345795699317193,TEMA,16,DOWN,SMA,8,SMA,4,UP_DOWN,SMA,16
10.912211172708197,DEMA,16,DOWN,SMA,2,SMA,2,UP,EMA,4
12.477800094333958,TEMA,4,DOWN,SMA,8,SMA,4,UP,EMA,4
12.920371920714103,SMA,32,DOWN,SMA,16,SMA,4,UP,EMA,8
12.82316297563878,TEMA,2,DOWN,SMA,8,SMA,2,UP,EMA,8
10.565934916048647,TEMA,16,DOWN,SMA,4,SMA,4,UP,EMA,8
10.491412546742325,SMA,8,UP_DOWN,DEMA,2,SMA,4,UP,EMA,16
10.308931694429702,SMA,2,UP_DOWN,SMA,4,EMA,8,DOWN,SMA,4
12.82316297563878,TEMA,4,DOWN,SMA,8,SMA,2,UP,EMA,8
11.243516317845149,DEMA,16,DOWN,SMA,2,SMA,4,UP_DOWN,SMA,2
12.17210032048277,SMA,8,UP_DOWN,DEMA,16,SMA,2,UP,EMA,4
