PRICE_0,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,SMA_64,SMA_128,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,EMA_64,EMA_128,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,DEMA_64,DEMA_128,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,TEMA_64,TEMA_128,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,RSL_64,RSL_128,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32,SPL_64,SPL_128
31988.71,31827.11,31535.75,32186.1575,32442.965,,,,32118.93353,32118.68527,32110.46009,31634.6623,,,,32695.98443,32696.71443,32693.42693,31958.99134,,,,32383.29012,32383.15662,32395.0156,32079.35138,,,,31988.71,31988.71,33505.16,34452.34,,,,31665.51,30743.06,30743.06,29755,,,
31200,31594.355,31649.985,31989.63125,32533.2775,,,,32045.41885,32045.19045,32037.62328,31599.88932,,,,32508.67217,32509.36204,32506.94291,31866.28089,,,,32116.29963,32116.13989,32127.84905,31923.70965,,,,31988.71,31988.71,33505.16,34452.34,,,,31200,31200,30743.06,30743.06,,,
30817.77,31008.885,31417.9975,31716.84625,32478.6825,,,,31950.98432,31950.77349,31943.78842,31539.72629,,,,32291.43244,32292.08546,32290.38973,31730.0911,,,,31815.88375,31815.70229,31827.1785,31712.92372,,,,31200,31988.71,33505.16,34452.34,,,,30817.77,30817.77,30743.06,30743.06,,,
31776.66,31297.215,31445.785,31500.78375,32400.52375,,,,31938.07141,31937.8762,31931.40853,31557.27694,,,,32241.34475,32241.96386,32240.87282,31749.79125,,,,31766.6008,31766.40138,31777.5874,31735.8858,,,,31776.66,31988.71,32068.84,34452.34,,,,30817.77,30817.77,30743.06,30743.06,,,
32099.98,31938.32,31473.6025,31504.67625,32395.62688,,,,31949.63631,31949.45504,31943.44935,31596.04144,,,,32241.9861,32242.57393,32241.98981,31810.80034,,,,31791.00914,31790.79492,31801.65264,31818.54383,,,,32099.98,32099.98,32099.98,34452.34,,,,31776.66,30817.77,30743.06,30743.06,,,
33697.75,32898.865,32098.04,31874.0125,32465.86938,,,,32070.19587,32070.02711,32064.4356,31740.98686,,,,32454.62872,32455.18766,32455.02944,32075.88398,,,,32120.48612,32120.25977,32130.76522,32194.94627,,,,33697.75,33697.75,33697.75,34452.34,,,,32099.98,30817.77,30817.77,30743.06,,,
33949.53,33823.64,32880.98,32149.48875,32434.44375,,,,32195.48482,32195.3273,32190.10856,31888.22307,,,,32671.22515,32671.75733,32671.95757,32338.21418,,,,32444.57905,32444.34281,32454.48246,32556.76004,,,,33949.53,33949.53,33949.53,34413.53,,,,33697.75,31776.66,30817.77,30743.06,,,
34117.59,34033.56,33466.2125,32455.99875,32415.9475,,,,32319.4916,32319.34425,32314.4622,32032.05319,,,,32880.54536,32881.05271,32881.555,32587.56338,,,,32748.33092,32748.0867,32757.85474,32890.7209,,,,34117.59,34117.59,34117.59,34117.59,,,,33949.53,32099.98,30817.77,30743.06,,,
34676.4,34396.995,34110.3175,32791.96,32489.05875,31742.47469,,,32466.79838,32466.66023,32462.08332,32197.32487,31742.47469,,,33130.88638,33131.37065,33132.12761,32873.05787,31742.47469,,,33103.52994,33103.27935,33112.67564,33269.97692,31742.47469,,,34676.4,34676.4,34676.4,34676.4,34676.4,,,34117.59,33697.75,30817.77,30743.06,29029.04,,
34918.53,34797.465,34415.5125,33256.77625,32623.20375,31918.72875,,,32615.38817,32615.2584,32610.95887,32362.24639,31934.96289,,,33378.81277,33379.27556,33380.24722,33151.95215,32115.78514,,,33446.43049,33446.17491,33455.20341,33631.88083,32285.64846,,,34918.53,34918.53,34918.53,34918.53,34918.53,,,34676.4,33949.53,30817.77,30743.06,29029.04,,
