Profit (%),Buy_1,Buy_value_1,Buy_trend,Buy_2,Buy_value_2,Sell_1,Sell_value_1,Sell_trend,Sell_2,Sell_value_2
10.750118831791625,DEMA,8,DOWN,RSL,4,TEMA,8,UP,EMA,2
10.449944642429728,EMA,8,DOWN,SMA,32,TEMA,16,DOWN,SPL,2
13.663833827533537,TEMA,2,DOWN,SPL,8,TEMA,8,UP,EMA,4
10.91754320145023,TEMA,16,DOWN,SPL,8,DEMA,32,UP,SMA,32
10.284628714032621,EMA,16,DOWN,SMA,32,DEMA,32,DOWN,SPL,8
10.672622814530271,EMA,32,DOWN,TEMA,32,SMA,4,DOWN,SPL,2
10.482134825957829,EMA,32,DOWN,RSL,4,DEMA,16,UP,EMA,4
13.000842051053468,SMA,4,DOWN,SPL,2,SMA,2,UP,SMA,16
19.260588950604458,TEMA,16,DOWN,RSL,2,SMA,4,UP,EMA,2
14.917711611039522,TEMA,4,DOWN,TEMA,2,TEMA,32,DOWN,RSL,2
10.703450515860325,TEMA,4,DOWN,SPL,2,DEMA,2,UP,SMA,32
24.552101212706432,DEMA,32,DOWN,RSL,4,DEMA,2,UP,SMA,32
10.74542091887507,EMA,2,DOWN,RSL,16,SMA,2,UP,SMA,8
21.043422370379233,TEMA,2,DOWN,RSL,4,SMA,16,UP,TEMA,4
18.26409686586655,SMA,16,DOWN,DEMA,32,SMA,8,DOWN,SPL,4
10.011583807499065,DEMA,8,DOWN,SPL,2,DEMA,4,UP,EMA,16
12.054761472646007,TEMA,16,DOWN,RSL,8,DEMA,4,UP,SMA,32
18.489957069080987,EMA,8,DOWN,DEMA,32,SMA,8,DOWN,SPL,4
11.301642213829012,TEMA,32,DOWN,SMA,8,SMA,16,DOWN,SPL,4
10.520162145761816,DEMA,8,DOWN,RSL,2,SMA,4,UP,DEMA,32
16.029723626582836,DEMA,16,DOWN,RSL,8,DEMA,8,UP,EMA,8
17.077646542901363,DEMA,8,DOWN,RSL,2,SMA,4,UP,EMA,4
25.06934241567363,TEMA,32,DOWN,RSL,2,SMA,8,UP,EMA,8
21.30431570388147,TEMA,16,DOWN,RSL,4,SMA,16,UP,TEMA,32
10.821968598311457,EMA,16,DOWN,SPL,4,TEMA,2,UP,EMA,8
10.40295751373283,SMA,32,DOWN,SPL,4,SMA,8,UP,DEMA,16
10.941863983625922,TEMA,16,DOWN,RSL,4,DEMA,32,UP,SMA,32
15.111514944572207,SMA,32,DOWN,RSL,16,DEMA,2,UP,EMA,16
10.292851454734873,TEMA,16,DOWN,TEMA,4,SMA,8,DOWN,SPL,4
10.82138523063108,EMA,2,DOWN,RSL,16,SMA,4,UP,TEMA,2
13.037874987696327,TEMA,2,DOWN,RSL,2,SMA,16,UP,SPL,4
16.53302319275778,DEMA,2,DOWN,RSL,2,SMA,16,UP,TEMA,32
10.747288796193885,TEMA,2,DOWN,RSL,8,DEMA,4,UP,EMA,16
10.334858663448742,DEMA,16,DOWN,RSL,8,TEMA,8,UP,DEMA,8
14.543446160702217,EMA,32,DOWN,SMA,32,SMA,8,DOWN,RSL,4
14.08057137122995,EMA,8,DOWN,RSL,16,SMA,16,UP,SPL,8
21.604885137360867,DEMA,32,DOWN,RSL,4,TEMA,4,UP,EMA,32
15.46917016430153,SMA,2,UP,SMA,32,SMA,8,DOWN,SPL,4
21.946850801774914,DEMA,2,DOWN,RSL,4,SMA,8,UP,SPL,2
12.616471418216506,EMA,32,DOWN,RSL,2,SMA,8,UP,EMA,16
10.747288796193885,SMA,32,UP,RSL,2,DEMA,16,UP,EMA,8
15.303334250284337,SMA,8,DOWN,TEMA,32,TEMA,2,DOWN,RSL,2
10.011583807499065,DEMA,2,DOWN,SPL,2,DEMA,8,UP,EMA,16
19.213310183727117,EMA,32,DOWN,RSL,8,SMA,8,UP,SPL,2
11.158172982459007,TEMA,2,DOWN,RSL,8,SMA,8,UP,EMA,4
18.324952396924473,TEMA,4,DOWN,SMA,8,TEMA,4,UP,SPL,8
15.979142603198738,DEMA,4,DOWN,RSL,4,SMA,4,UP,RSL,2
21.946850801774914,DEMA,4,DOWN,RSL,4,SMA,8,UP,SPL,2
