Profit (%),Buy_1,Buy_value_1,Buy_trend,Buy_2,Buy_value_2,Sell_1,Sell_value_1,Sell_trend,Sell_2,Sell_value_2
14.232190454033045,DEMA,32,DOWN,RSL,4,TEMA,32,UP,EMA,8
11.474824176379244,EMA,32,DOWN,RSL,8,DEMA,32,UP,EMA,4
12.78663748502936,EMA,8,DOWN,SPL,4,TEMA,4,UP,EMA,2
12.08411180742496,EMA,16,UP,SPL,8,DEMA,16,DOWN,SPL,16
10.212817853640615,DEMA,2,DOWN,SPL,4,DEMA,8,DOWN,SPL,16
19.67022556021439,EMA,8,DOWN,RSL,32,DEMA,8,UP,EMA,16
15.460780747476463,EMA,8,DOWN,RSL,32,TEMA,8,DOWN,SPL,16
14.026405913500923,TEMA,8,DOWN,RSL,8,TEMA,4,UP,EMA,4
15.113309540451795,TEMA,32,DOWN,RSL,2,TEMA,4,UP,EMA,16
12.764775734268056,SMA,16,UP,SPL,8,TEMA,2,UP,EMA,16
20.81012083546831,TEMA,8,DOWN,TEMA,2,SMA,32,DOWN,SPL,8
15.72336907297695,EMA,4,UP,SPL,8,SMA,8,UP,RSL,4
12.370288206997813,SMA,4,UP,EMA,8,DEMA,8,DOWN,SPL,16
15.290747136785924,DEMA,2,DOWN,RSL,16,DEMA,16,UP,EMA,2
10.212817853640615,DEMA,16,DOWN,SMA,2,DEMA,4,DOWN,SPL,16
12.42192631303277,TEMA,2,UP,SMA,2,DEMA,32,DOWN,SPL,16
10.452734028797963,TEMA,16,UP,SPL,8,DEMA,32,DOWN,SPL,16
10.920203680492378,SMA,32,UP,SPL,16,SMA,8,DOWN,SMA,4
10.705978694506413,TEMA,8,DOWN,RSL,2,TEMA,2,UP,EMA,32
16.042221197040945,EMA,8,DOWN,TEMA,8,SMA,16,DOWN,SPL,2
14.970717475606278,DEMA,32,DOWN,SPL,4,SMA,32,DOWN,SPL,4
11.922565864912343,TEMA,8,DOWN,RSL,8,DEMA,16,UP,EMA,32
10.212817853640615,EMA,2,DOWN,SPL,4,DEMA,32,DOWN,SPL,16
16.01332660674214,DEMA,2,DOWN,RSL,2,TEMA,8,UP,EMA,8
12.78663748502936,DEMA,8,DOWN,SPL,4,TEMA,4,UP,EMA,4
21.178598780416422,SMA,32,DOWN,RSL,8,SMA,2,UP,SMA,16
12.758517590620244,TEMA,4,UP,SPL,16,TEMA,4,DOWN,SPL,16
11.689103965999664,DEMA,8,DOWN,SPL,2,TEMA,32,UP,EMA,8
12.912292965941532,SMA,16,UP,SPL,4,TEMA,8,UP,EMA,2
15.093239503102879,TEMA,2,UP,DEMA,4,SMA,16,DOWN,SPL,2
11.775743930418358,EMA,16,UP,SPL,2,TEMA,8,UP,EMA,2
11.899227547091499,DEMA,8,UP,EMA,8,DEMA,4,DOWN,SPL,16
10.610888772512581,DEMA,4,UP,SPL,4,SMA,32,DOWN,SPL,4
19.67022556021439,EMA,2,DOWN,RSL,32,DEMA,2,UP,EMA,32
11.508452836232038,SMA,8,UP,TEMA,16,SMA,8,UP,SPL,2
10.212817853640615,EMA,16,DOWN,SPL,4,DEMA,16,DOWN,SPL,16
12.048437919266064,SMA,4,DOWN,SPL,2,TEMA,8,UP,EMA,4
13.79732097036829,TEMA,4,DOWN,SMA,4,SMA,16,DOWN,SPL,2
14.616081846495547,SMA,16,UP,DEMA,4,SMA,16,DOWN,SPL,2
15.07724230950754,EMA,2,DOWN,DEMA,2,DEMA,32,DOWN,SPL,16
11.061044462787535,SMA,2,UP,DEMA,2,SMA,4,DOWN,RSL,2
13.792637454124758,EMA,32,DOWN,RSL,32,TEMA,16,UP,DEMA,2
11.178353112117406,EMA,32,DOWN,SPL,4,TEMA,8,UP,EMA,4
10.248434636372835,SMA,8,UP,SPL,4,TEMA,2,UP,EMA,4
10.212817853640615,DEMA,8,DOWN,SMA,2,DEMA,2,DOWN,SPL,16
16.17987647238151,DEMA,4,DOWN,TEMA,16,SMA,32,DOWN,SPL,8
11.748811662842343,SMA,2,UP,DEMA,32,SMA,8,UP,RSL,4
21.86279749591344,EMA,32,DOWN,RSL,32,DEMA,8,DOWN,SPL,16
12.048437919266064,SMA,32,DOWN,SPL,2,TEMA,2,UP,EMA,8
17.630406970986527,EMA,16,DOWN,DEMA,2,SMA,16,DOWN,SPL,2
12.78663748502936,EMA,16,DOWN,SPL,2,TEMA,16,UP,EMA,8
10.323876892200857,SMA,2,UP,TEMA,2,SMA,16,DOWN,SPL,2
18.41780868810288,DEMA,32,DOWN,TEMA,16,SMA,32,DOWN,SPL,4
20.214914999975292,TEMA,4,DOWN,SMA,4,SMA,4,DOWN,RSL,2
15.663395853114338,EMA,4,DOWN,RSL,4,SMA,32,DOWN,SPL,4
11.800853058066338,TEMA,2,UP,DEMA,32,SMA,4,DOWN,SPL,2
12.370288206997813,TEMA,4,UP,TEMA,8,DEMA,4,DOWN,SPL,16
12.548587631891849,SMA,8,UP,EMA,16,SMA,32,DOWN,SPL,4
16.231297408781586,TEMA,4,DOWN,SPL,4,SMA,8,DOWN,SMA,4
18.15589426264303,EMA,32,DOWN,TEMA,8,SMA,16,DOWN,SPL,2
20.3892876670739,EMA,4,DOWN,RSL,4,TEMA,16,UP,EMA,4
