Expect,Profit,Number,Win rate,Win average,Loss rate,Loss average,Buy_1,Buy_value_1,Buy_trend,Buy_2,Buy_value_2,Sell_1,Sell_value_1,Sell_trend,Sell_2,Sell_value_2
71.25527963259265,2.730456129544462,14,71.42857142857143,3.3860312178070644,28.57142857142857,0.2737096558842751,PRICE,0,UP,TEMA,2,SMA,2,UP,TEMA,8
91.00055876333168,3.464004029163116,10,70.0,6.101431526889714,30.0,0.38065744609020175,PRICE,0,UP_DOWN,SMA,16,SMA,8,UP,SMA,4
80.99594415289668,6.328638882429554,11,72.72727272727273,9.759328516703414,27.272727272727266,0.710320514824223,TEMA,16,ANY,RSL,2,TEMA,32,UP_DOWN,SMA,2
126.1390492299732,3.6817991996540607,13,61.53846153846154,5.663027728537569,38.46153846153846,0.22452628649036513,PRICE,0,UP,TEMA,2,SMA,2,UP,TEMA,32
33.72976682793496,4.249461304377749,12,58.333333333333336,8.034704456629296,41.666666666666664,1.0498791087744166,SMA,2,UP,SMA,64,SMA,8,UP_DOWN,SMA,32
22.99753402021018,6.03317825440599,17,52.94117647058824,9.415951268471856,47.05882352941176,1.5431777954218528,SMA,16,UP_DOWN,SMA,8,SMA,64,UP,SPL,2
45.56665633198068,8.378987454170288,14,64.28571428571429,11.901682418302537,35.71428571428571,1.3134584629358756,PRICE,0,UP_DOWN,SMA,16,SMA,2,UP_DOWN,SMA,64
23.27161412064791,1.8810736932121088,11,63.63636363636363,3.64460036485642,36.36363636363637,0.7348295588624083,TEMA,2,ANY,RSL,4,SMA,2,UP_DOWN,SMA,4
35.26909866483019,4.474527683616951,12,66.66666666666666,7.240409098717576,33.33333333333334,1.0572351465843006,PRICE,0,ANY,TEMA,64,PRICE,0,UP,TEMA,8
22.918629673377044,3.323937942535302,10,90.0,4.593064080639469,10.0,1.4503214153316009,TEMA,64,ANY,SPL,4,PRICE,0,UP,TEMA,2
31.82328765862972,2.347790122895605,13,84.61538461538461,2.664408596752834,15.384615384615387,0.5675065447669567,SMA,64,UP,SPL,4,SMA,4,UP_DOWN,SMA,32
20.536813435035032,5.2281002280879925,10,80.0,8.478580653561055,20.0,2.5457212457162655,PRICE,0,ANY,TEMA,4,SMA,16,DOWN,SPL,2
21.47704181055848,4.725460543805329,12,58.333333333333336,9.410455033038506,41.666666666666664,1.8335317411211207,SMA,4,UP_DOWN,SMA,16,PRICE,0,UP_DOWN,SMA,64
27.624648275261055,2.913893947024319,10,60.0,6.530999006576195,40.0,1.0548166687913358,SMA,4,UP,TEMA,16,SMA,16,UP_DOWN,PRICE,0
44.307548732208915,4.053237002230943,11,72.72727272727273,6.391717788940463,27.272727272727266,0.8316327615841317,TEMA,64,ANY,PRICE,0,TEMA,32,UP_DOWN,PRICE,0
36.81086544914664,9.6623992427909,14,64.28571428571429,13.924816829855098,35.71428571428571,1.8749121110410187,PRICE,0,ANY,SMA,32,SMA,16,UP_DOWN,SMA,32
24.88127253476229,5.174653866275939,16,56.25,7.910522447100894,43.75,1.2998365183709686,SMA,4,UP,SMA,32,SMA,16,DOWN,SMA,2
40.54160557497231,5.936334860271135,13,69.23076923076923,8.415713989733476,30.769230769230774,1.1263518960869163,SMA,64,UP_DOWN,SMA,16,SMA,16,UP,SPL,4
87.83781263413272,2.459597219327789,12,66.66666666666666,3.80606906389891,33.33333333333334,0.23334646981445317,SMA,128,UP,SPL,32,SMA,4,UP,SPL,2
21.63736001620154,2.4424370256955967,17,64.70588235294117,3.0266603272956174,35.294117647058826,0.6640032153174383,PRICE,0,ANY,TEMA,32,PRICE,0,UP,SMA,4
20.820223620852065,8.675416256064596,11,72.72727272727273,14.433631830592752,27.272727272727266,3.7880198573222876,SMA,16,ANY,SPL,8,SMA,128,DOWN,SPL,64
55.78736773994242,4.12457802838545,12,66.66666666666666,6.49492498618025,33.33333333333334,0.616115887204149,PRICE,0,ANY,TEMA,128,PRICE,0,UP,TEMA,8
27.30100384104465,4.370459425601465,11,63.63636363636363,8.323822404595797,36.36363636363637,1.4553109312382482,SMA,4,UP,TEMA,4,SMA,8,DOWN,SPL,2
77.12474267798,5.829373568185409,10,90.0,7.856479982036317,10.0,0.75583702010195,TEMA,16,ANY,SPL,2,TEMA,16,UP,SPL,2
24.68273469425954,5.222617247716489,15,73.33333333333333,6.210345834407345,26.66666666666667,1.4105993014707323,SMA,64,UP_DOWN,PRICE,0,SMA,16,DOWN,SMA,2
29.259255575695338,1.7181145844898147,11,63.63636363636363,3.2503802189566136,36.36363636363637,0.5338216297046294,SMA,16,UP,RSL,2,PRICE,0,UP,TEMA,8
24.53009867029499,2.239172279759386,11,54.54545454545454,5.169879746140569,45.45454545454546,0.8298422239461558,TEMA,128,UP_DOWN,SMA,4,SMA,2,UP_DOWN,SMA,8
40.24299612464562,9.867981067655316,14,78.57142857142857,11.242751879592653,21.42857142857143,1.7514992878851292,SMA,2,UP_DOWN,SMA,16,SMA,128,UP,SPL,8
21.258379816456614,5.9857868792300515,23,56.52173913043478,6.4670576266648645,43.47826086956522,1.2242306595882624,SMA,16,ANY,SMA,32,SMA,32,UP,SPL,8
63.50126645945673,6.31097015997302,11,90.9090909090909,7.663512714443762,9.090909090909093,0.9034852247613827,SMA,64,UP,SPL,32,SMA,64,DOWN,SPL,16
24.306289631691204,4.66535677285291,12,66.66666666666666,7.7977864519739395,33.33333333333334,1.5995025853891498,SMA,8,UP,SMA,64,SMA,32,UP_DOWN,PRICE,0
