Profit (%),Buy_1,Buy_value_1,Buy_trend,Buy_2,Buy_value_2,Sell_1,Sell_value_1,Sell_trend,Sell_2,Sell_value_2
14.744254188979411,DEMA,16,UP,SPL,8,SMA,8,UP,TEMA,16
14.316259375132702,DEMA,16,UP,SPL,4,TEMA,32,UP,DEMA,16
22.432516947056556,SMA,4,DOWN,SMA,2,SMA,32,UP,SPL,16
11.673074738805497,SMA,8,DOWN,RSL,2,EMA,4,UP,RSL,8
13.103927752492268,SMA,16,UP,SPL,8,DEMA,2,DOWN,TEMA,16
15.363679642892038,EMA,2,DOWN,DEMA,2,EMA,4,UP,RSL,2
14.029391651760378,SMA,8,DOWN,RSL,4,DEMA,8,DOWN,SPL,4
14.641269751121456,TEMA,32,UP,EMA,16,TEMA,2,DOWN,RSL,2
19.22327221402692,TEMA,2,UP,SPL,2,TEMA,32,UP,DEMA,8
24.33249180290224,SMA,8,DOWN,RSL,2,TEMA,4,DOWN,RSL,8
19.051729870822044,EMA,8,UP,SPL,2,DEMA,4,UP,SPL,4
13.360983130982945,TEMA,16,UP,SPL,8,DEMA,32,UP,DEMA,2
31.71879681447618,EMA,2,DOWN,DEMA,2,TEMA,32,UP,SPL,4
20.71295335364286,TEMA,4,UP,DEMA,2,SMA,32,DOWN,SPL,2
21.873260760147772,SMA,16,UP,RSL,4,TEMA,8,UP,SMA,4
21.470479131686787,SMA,8,DOWN,TEMA,2,DEMA,8,UP,SPL,2
11.149471038026945,EMA,4,UP,SMA,16,DEMA,8,DOWN,SPL,8
11.079369259594273,DEMA,32,UP,EMA,16,DEMA,8,UP,SPL,2
17.07072120000315,TEMA,8,UP,DEMA,16,TEMA,32,DOWN,RSL,8
14.9363476913164,SMA,32,UP,EMA,32,TEMA,4,DOWN,RSL,8
17.654663717054405,EMA,4,DOWN,TEMA,8,TEMA,2,DOWN,SPL,4
17.16703365034371,TEMA,2,UP,SMA,4,EMA,4,UP,SPL,16
16.931353443728923,EMA,2,DOWN,RSL,4,SMA,2,UP,TEMA,16
20.047990027484943,EMA,16,DOWN,SPL,8,SMA,8,DOWN,SPL,4
14.289483133140635,DEMA,8,UP,DEMA,4,TEMA,16,UP,RSL,2
13.933642864552795,TEMA,2,UP,EMA,8,DEMA,32,UP,SPL,2
12.333921569102202,SMA,2,UP,TEMA,4,TEMA,16,DOWN,SPL,8
24.070050416678043,SMA,8,DOWN,RSL,2,TEMA,8,DOWN,RSL,4
20.486735401012098,EMA,4,DOWN,SPL,4,TEMA,32,UP,TEMA,8
16.3254540050183,EMA,2,DOWN,RSL,2,DEMA,32,UP,EMA,8
13.959489515569373,TEMA,8,UP,DEMA,4,DEMA,8,DOWN,SPL,4
15.193870187644634,EMA,2,UP,SPL,2,EMA,32,DOWN,TEMA,2
18.92838793606171,TEMA,4,UP,RSL,2,TEMA,8,UP,SMA,8
11.8713985742246,TEMA,8,DOWN,RSL,4,EMA,2,DOWN,TEMA,32
14.42490228489379,TEMA,16,UP,SPL,8,DEMA,4,UP,SPL,2
23.601583665587484,TEMA,2,UP,DEMA,2,DEMA,4,UP,RSL,2
13.600063633362112,DEMA,16,DOWN,RSL,2,SMA,16,UP,EMA,4
10.792510576992541,TEMA,16,DOWN,SMA,4,TEMA,4,UP,SPL,8
17.08815299631658,TEMA,2,UP,SMA,2,TEMA,32,UP,RSL,8
15.221656657265612,EMA,16,DOWN,RSL,4,SMA,2,UP,DEMA,32
18.74517310373443,TEMA,2,DOWN,RSL,2,TEMA,32,UP,TEMA,2
27.50087047031535,EMA,2,UP,SMA,4,TEMA,8,DOWN,RSL,4
32.66631857417619,DEMA,2,DOWN,TEMA,4,DEMA,8,UP,RSL,2
22.065377387297133,EMA,2,DOWN,RSL,4,DEMA,16,UP,DEMA,8
11.360226715718298,DEMA,16,DOWN,TEMA,2,EMA,32,UP,RSL,8
16.393696045141454,TEMA,2,UP,SPL,2,DEMA,32,DOWN,SMA,2
15.794834757632088,TEMA,16,UP,TEMA,2,DEMA,8,UP,RSL,4
13.186603952861077,DEMA,4,DOWN,TEMA,4,EMA,16,UP,SPL,16
