Profit (%),Buy_1,Buy_value_1,Buy_trend,Buy_2,Buy_value_2,Sell_1,Sell_value_1,Sell_trend,Sell_2,Sell_value_2
10.748703666329476,TEMA,16,DOWN,SMA,8,EMA,4,DOWN,SPL,16
10.484171262738784,DEMA,16,DOWN,TEMA,2,EMA,2,DOWN,SPL,16
13.010658661359429,EMA,16,DOWN,RSL,32,SMA,16,UP,TEMA,32
10.078797934448417,DEMA,16,DOWN,SMA,8,SMA,8,UP,SPL,4
10.45956918471245,DEMA,16,DOWN,TEMA,8,DEMA,32,DOWN,SPL,16
11.124776024558855,DEMA,2,DOWN,RSL,4,TEMA,32,UP,RSL,2
16.838307672089442,EMA,8,DOWN,RSL,32,SMA,4,UP,EMA,4
11.789377139278272,DEMA,8,DOWN,SPL,4,SMA,32,UP,DEMA,2
10.484171262738784,DEMA,16,DOWN,TEMA,2,EMA,4,DOWN,SPL,16
10.401392557737694,TEMA,16,DOWN,SMA,8,SMA,16,DOWN,RSL,2
11.215968669879203,EMA,2,DOWN,RSL,32,SMA,8,UP,TEMA,8
15.837605917583303,EMA,2,DOWN,RSL,32,SMA,2,UP,EMA,16
11.349802078091926,SMA,32,DOWN,TEMA,16,SMA,16,UP,SPL,2
10.484171262738784,DEMA,16,DOWN,TEMA,4,EMA,16,DOWN,SPL,16
10.484171262738784,DEMA,4,DOWN,TEMA,8,EMA,2,DOWN,SPL,16
10.13582948672618,DEMA,8,DOWN,TEMA,16,TEMA,8,DOWN,RSL,2
10.484171262738784,DEMA,2,DOWN,TEMA,8,EMA,2,DOWN,SPL,16
10.057778768963473,TEMA,8,DOWN,TEMA,16,SMA,16,DOWN,SPL,2
10.927742067667396,SMA,32,DOWN,TEMA,32,TEMA,2,UP,RSL,8
10.45956918471245,EMA,8,DOWN,DEMA,32,DEMA,32,DOWN,SPL,16
10.45956918471245,DEMA,4,DOWN,TEMA,8,DEMA,16,DOWN,SPL,16
10.26074591928888,EMA,4,DOWN,RSL,32,DEMA,4,UP,SPL,2
11.708718833641328,EMA,32,DOWN,RSL,32,SMA,32,UP,TEMA,32
11.215968669879203,EMA,16,DOWN,RSL,32,SMA,8,UP,TEMA,16
10.491665268789603,EMA,16,DOWN,RSL,32,TEMA,32,DOWN,SMA,32
11.26850211219623,EMA,2,DOWN,RSL,4,TEMA,4,UP,RSL,8
11.349802078091926,SMA,32,DOWN,TEMA,2,SMA,16,UP,SPL,2
12.788832866537959,EMA,32,DOWN,RSL,32,SMA,4,UP,SMA,2
