Profit (%),Buy_1,Buy_value_1,Buy_trend,Buy_2,Buy_value_2,Sell_1,Sell_value_1,Sell_trend,Sell_2,Sell_value_2
19.422957862748234,SMA,8,DOWN,TEMA,16,DEMA,8,UP,RSL,16
18.493992626483887,SMA,2,UP,EMA,16,TEMA,16,DOWN,RSL,2
14.6478910281934,SMA,4,UP,EMA,4,EMA,4,DOWN,SPL,8
11.020917550403865,EMA,2,DOWN,SPL,2,DEMA,4,UP,DEMA,32
21.466908453901127,EMA,2,DOWN,SPL,2,TEMA,4,DOWN,SPL,8
14.94305377318706,TEMA,2,UP,SPL,2,SMA,2,UP,TEMA,8
11.559070210038954,TEMA,8,UP,SPL,8,SMA,32,DOWN,SMA,4
13.19254327471161,SMA,16,UP,DEMA,4,TEMA,8,DOWN,SPL,16
22.276210186174765,TEMA,16,DOWN,SPL,2,TEMA,4,UP,DEMA,4
14.25725853919981,TEMA,4,UP,SPL,4,SMA,32,UP,EMA,4
17.605611356380265,EMA,2,DOWN,DEMA,16,TEMA,8,DOWN,RSL,2
11.356630644525609,SMA,4,UP,DEMA,16,EMA,4,UP,SPL,8
14.551579697285973,EMA,2,DOWN,TEMA,16,EMA,2,UP,RSL,4
20.84746697807941,DEMA,16,DOWN,RSL,8,DEMA,2,UP,SPL,8
17.65093081095135,SMA,2,UP,EMA,4,TEMA,8,UP,SPL,8
20.786269511990255,SMA,16,DOWN,SPL,2,SMA,4,UP,DEMA,16
11.87299797364561,SMA,2,UP,EMA,16,DEMA,32,UP,RSL,8
15.295582437697632,EMA,8,DOWN,SPL,2,TEMA,32,DOWN,RSL,32
15.62884943185179,DEMA,8,UP,EMA,2,TEMA,4,UP,SPL,8
24.674667075709607,EMA,8,DOWN,SMA,4,TEMA,2,DOWN,RSL,2
13.99264856266899,TEMA,2,DOWN,SPL,8,TEMA,4,DOWN,RSL,8
22.47498227403196,TEMA,16,DOWN,SMA,2,EMA,4,DOWN,SPL,32
12.284077831085355,TEMA,2,DOWN,SPL,8,EMA,4,UP,SPL,8
10.590461491651965,DEMA,2,UP,EMA,8,TEMA,4,DOWN,RSL,16
16.016631400358932,SMA,16,DOWN,SPL,2,TEMA,4,UP,RSL,8
20.907584888293172,DEMA,2,DOWN,TEMA,8,TEMA,16,DOWN,SPL,8
10.274218932235954,DEMA,2,DOWN,SMA,2,DEMA,4,UP,RSL,4
12.105923294871857,TEMA,8,UP,SPL,8,EMA,2,UP,RSL,4
25.06348528882984,EMA,2,DOWN,SMA,2,DEMA,4,UP,SPL,4
17.608864987675858,DEMA,8,DOWN,SPL,2,TEMA,8,UP,RSL,8
10.723343676934647,DEMA,4,UP,SPL,2,SMA,4,UP,TEMA,8
15.783151175426156,DEMA,16,DOWN,SMA,2,TEMA,16,DOWN,RSL,4
20.111462250090582,TEMA,8,DOWN,RSL,4,TEMA,32,DOWN,SPL,16
10.541738061377302,TEMA,16,UP,EMA,2,TEMA,2,DOWN,SPL,2
19.634614666912938,SMA,2,UP,DEMA,16,SMA,4,DOWN,RSL,2
12.537956497615241,DEMA,16,DOWN,RSL,8,DEMA,4,UP,DEMA,32
20.515561717024056,EMA,8,DOWN,SPL,2,TEMA,32,UP,DEMA,32
12.412717430681042,SMA,16,DOWN,SPL,2,TEMA,2,UP,RSL,4
21.466908453901127,SMA,8,UP,SPL,4,TEMA,16,DOWN,SPL,16
