Expect,Profit,Number,Win rate,Win average,Loss rate,Loss average,Buy_1,Buy_value_1,Buy_trend,Buy_2,Buy_value_2,Sell_1,Sell_value_1,Sell_trend,Sell_2,Sell_value_2
21.4297532651419,6.6800032391315405,11,81.81818181818183,9.536400869548066,18.181818181818173,2.8337844781770514,SMA,2,ANY,TEMA,128,PRICE,0,UP,TEMA,128
21.093721274290342,4.467167925396045,14,57.14285714285714,7.835272271292704,42.85714285714286,1.5126938442648477,TEMA,64,ANY,RSL,4,TEMA,32,UP_DOWN,PRICE,0
55.842671588511735,3.9714014998934126,18,72.22222222222221,3.817869941149519,27.777777777777786,0.39509824724455883,SMA,16,UP,SMA,32,SMA,8,DOWN,SPL,4
27.635357532431673,8.348586462032744,11,81.81818181818183,11.741747622185944,18.181818181818173,2.746345527640287,PRICE,0,ANY,TEMA,4,PRICE,0,UP,TEMA,64
26.52761255241259,5.659818848940843,12,75.0,8.139080011578052,25.0,1.7779646389707817,SMA,8,DOWN,PRICE,0,TEMA,4,UP_DOWN,PRICE,0
26.25059999570298,5.906240267670416,10,70.0,11.089245401221985,30.0,2.249944865502968,PRICE,0,UP,EMA,16,SMA,64,UP_DOWN,PRICE,0
28.228122962075194,7.382053439131884,16,87.5,6.560969148649016,12.5,1.6344634057518093,TEMA,16,ANY,RSL,4,PRICE,0,UP,TEMA,4
32.900934188031535,5.528439050362949,13,61.53846153846154,9.100509007513145,38.46153846153846,1.2925606911499528,EMA,16,DOWN,SPL,2,SMA,16,UP_DOWN,PRICE,0
22.880278489039583,6.3763982509018176,12,75.0,9.27599028637244,25.0,2.3223778555100503,SMA,8,DOWN,RSL,4,PRICE,0,UP,TEMA,32
20.300801022251992,6.9447048277438705,13,92.3076923076923,7.16399340946332,7.692307692307693,2.631462980633387,TEMA,4,ANY,SPL,2,PRICE,0,UP,TEMA,4
57.64877327962978,6.037615538085226,10,80.0,9.318250887950734,20.0,1.0473103232915832,SMA,16,UP,RSL,4,SMA,8,UP,SMA,64
41.207065334452246,4.796525169868091,10,70.0,8.721474087426568,30.0,1.1640055245229586,PRICE,0,UP,EMA,16,PRICE,0,UP,EMA,128
29.86460611129999,5.932771621758288,11,72.72727272727273,9.576392475553199,27.272727272727266,1.805960114442044,SMA,16,ANY,RSL,4,PRICE,0,UP,TEMA,32
40.093032883981174,9.400493362095746,12,75.0,13.185288386987022,25.0,1.9538917125780795,PRICE,0,ANY,TEMA,4,PRICE,0,UP,TEMA,4
21.4297532651419,6.6800032391315405,11,81.81818181818183,9.536400869548066,18.181818181818173,2.8337844781770514,SMA,2,ANY,TEMA,128,PRICE,0,UP,TEMA,64
25.665382003184607,4.736673820549075,14,71.42857142857143,6.211308500604739,28.57142857142857,1.3182497898646233,TEMA,2,UP,RSL,4,TEMA,8,UP_DOWN,PRICE,0
27.17539230670826,5.362286688654193,14,57.14285714285714,9.100509007513145,42.85714285714286,1.40943863270914,EMA,16,ANY,PRICE,0,SMA,16,UP_DOWN,PRICE,0
21.39187065259679,4.6897263216803,10,70.0,8.979085279099792,30.0,2.1922936978449834,SMA,2,ANY,SMA,8,SMA,2,UP,TEMA,128
25.16060801110324,5.277053436888213,11,63.63636363636363,10.13590840782864,36.36363636363637,1.9066794030354828,PRICE,0,UP,EMA,8,SMA,32,DOWN,PRICE,0
20.415568983016932,5.511854888302174,15,66.66666666666666,7.514168926229883,33.33333333333334,1.799886120534549,SMA,4,DOWN,RSL,2,TEMA,16,UP_DOWN,PRICE,0
25.84403702765236,5.998069997574976,10,80.0,9.577322977705434,20.0,2.3208719253718826,SMA,16,UP_DOWN,SMA,8,EMA,4,UP,RSL,2
22.055245277378162,6.088462836223457,10,90.0,8.424678331929947,10.0,2.7605509526880354,SMA,8,UP_DOWN,SMA,4,EMA,32,DOWN,SMA,4
232.48031695482152,4.965007991080466,11,72.72727272727273,7.520318854004854,27.272727272727266,0.1941516463577481,TEMA,4,ANY,SMA,2,TEMA,2,UP_DOWN,PRICE,0
22.03370916412474,4.939223669999414,13,76.92307692307693,6.444376152065064,23.076923076923066,1.7243591602192225,TEMA,2,UP,RSL,4,TEMA,128,UP_DOWN,PRICE,0
25.342643751528772,4.3687374622617625,13,61.53846153846154,7.381888924096344,38.46153846153846,1.326052369125921,SMA,2,ANY,SMA,4,TEMA,4,UP_DOWN,SMA,2
21.533419413205724,3.2172772661361244,13,92.3076923076923,3.3130519864584045,7.692307692307693,1.149296643867359,TEMA,64,UP,RSL,4,PRICE,0,UP,TEMA,2
21.798840890740166,5.366048150111511,16,62.5,7.362365603333073,37.5,1.5385130386654329,TEMA,16,ANY,RSL,4,TEMA,4,UP_DOWN,PRICE,0
27.263996021554224,4.375858336222589,10,60.0,9.821713487478737,40.0,1.604995222550336,SMA,8,UP_DOWN,SMA,16,TEMA,8,UP,RSL,2
33.33211211679821,1.804409122601901,10,70.0,3.325276740035611,30.0,0.541342569675488,SMA,2,UP,EMA,8,SMA,4,UP,EMA,2
60.75743065087517,5.038717501967444,10,90.0,6.810436344925924,10.0,0.829317080723996,SMA,128,UP_DOWN,PRICE,0,SMA,16,UP_DOWN,PRICE,0
41.27632782119313,5.411532072253274,12,66.66666666666666,8.66356885220025,33.33333333333334,1.092541487640677,PRICE,0,UP,EMA,4,PRICE,0,UP,EMA,32
56.855426214587816,2.5691597122424716,12,75.0,3.551067367455916,25.0,0.3765632533978618,SMA,2,ANY,EMA,4,SMA,4,UP,EMA,16
