PRICE_0,SMA_2,SMA_4,SMA_8,SMA_16,SMA_32,SMA_64,SMA_128,EMA_2,EMA_4,EMA_8,EMA_16,EMA_32,EMA_64,EMA_128,DEMA_2,DEMA_4,DEMA_8,DEMA_16,DEMA_32,DEMA_64,DEMA_128,TEMA_2,TEMA_4,TEMA_8,TEMA_16,TEMA_32,TEMA_64,TEMA_128,RSL_2,RSL_4,RSL_8,RSL_16,RSL_32,RSL_64,RSL_128,SPL_2,SPL_4,SPL_8,SPL_16,SPL_32,SPL_64,SPL_128
7354.11,7344.47,7336.095,7339.205,7234.33,,,,7257.530652,7257.476141,7259.66971,7261.576449,,,,7326.660396,7326.674856,7327.207683,7322.805711,,,,7375.728285,7375.896117,7372.542723,7356.775589,,,,7354.11,7354.11,7354.11,7354.11,,,,7334.83,7318.99,7318.99,6952.04,,,
7475.99,7415.05,7370.98,7355.81875,7255.3425,,,,7275.0074,7274.95725,7276.975333,7278.729533,,,,7354.685372,7354.702688,7355.031442,7350.841292,,,,7409.5322,7409.689233,7406.416363,7392.105476,,,,7475.99,7475.99,7475.99,7475.99,,,,7354.11,7318.99,7318.99,6952.04,,,
7463.63,7469.81,7407.14,7370.6525,7276.133125,,,,7289.516831,7289.470538,7291.333385,7292.952646,,,,7376.459049,7376.478593,7376.638763,7372.646374,,,,7433.792348,7433.939359,7430.762632,7417.73513,,,,7475.99,7475.99,7475.99,7475.99,,,,7463.63,7334.83,7318.99,6952.04,,,
7422.33,7442.98,7429.015,7381.805,7303.574375,,,,7299.354843,7299.31198,7301.036838,7302.536154,,,,7388.966168,7388.98744,7389.007978,7385.20026,,,,7444.523951,7444.661671,7441.590969,7429.69946,,,,7463.63,7475.99,7475.99,7475.99,,,,7422.33,7354.11,7318.99,6952.04,,,
7468.42,7445.375,7457.5925,7396.84375,7334.99375,,,,7311.430926,7311.391124,7312.992778,7314.385,,,,7405.854947,7405.877542,7405.78221,7402.147028,,,,7461.913249,7462.042361,7459.083401,7448.201497,,,,7468.42,7475.99,7475.99,7475.99,,,,7422.33,7422.33,7318.99,6952.04,,,
7444.14,7456.28,7449.63,7410.305,7365.75,,,,7320.583276,7320.546219,7322.037414,7323.333621,,,,7417.016449,7417.040041,7416.848442,7413.374569,,,,7471.079251,7471.200387,7468.355866,7458.374622,,,,7468.42,7468.42,7475.99,7475.99,,,,7444.14,7422.33,7318.99,7203.21,,,
7358.75,7401.445,7423.41,7415.275,7375.47125,,,,7323.127724,7323.093138,7324.48492,7325.694713,,,,7415.506837,7415.531163,7415.259552,7411.936617,,,,7462.181664,7462.295408,7459.565843,7450.390892,,,,7444.14,7468.42,7475.99,7475.99,,,,7358.75,7358.75,7334.83,7318.99,,,
7540.9,7449.825,7453.0525,7441.03375,7387.99875,,,,7337.177548,7337.145194,7338.447183,7339.578925,,,,7436.740103,7436.764946,7436.426859,7433.245292,,,,7487.123643,7487.230534,7484.614883,7476.164111,,,,7540.9,7540.9,7540.9,7540.9,,,,7358.75,7358.75,7354.11,7318.99,,,
7507.91,7524.405,7462.925,7460.25875,7399.731875,7280.252812,,,7347.848327,7347.817994,7349.038609,7350.099617,7280.252812,,,7451.192076,7451.217263,7450.824017,7447.774985,7280.252812,,,7501.971515,7502.072047,7499.568164,7491.769816,7280.252812,,,7540.9,7540.9,7540.9,7540.9,7540.9,,,7507.91,7358.75,7358.75,7318.99,6952.04,,
7544.72,7526.315,7488.07,7468.85,7412.334375,7290.24375,,,7359.779943,7359.751449,7360.898087,7361.894792,7296.281127,,,7468.068923,7468.09431,7467.655405,7464.730756,7311.338028,,,7520.416341,7520.510968,7518.115942,7510.907067,7325.48239,,,7544.72,7544.72,7544.72,7544.72,7544.72,,,7507.91,7358.75,7358.75,7318.99,6952.04,,
7519.99,7532.355,7528.38,7475.895,7423.27375,7299.93625,,,7369.204064,7369.177246,7370.256435,7371.19451,7309.440472,,,7479.992865,7480.018336,7479.541767,7476.733976,7335.99694,,,7531.613796,7531.702936,7529.413345,7522.738505,7360.132402,,,7544.72,7544.72,7544.72,7544.72,7544.72,,,7519.99,7507.91,7358.75,7318.99,6952.04,,
7539.9,7529.945,7528.13,7490.59125,7436.198125,7310.645625,,,7378.958118,7378.932832,7379.950353,7380.834824,7322.609588,,,7492.612809,7492.63827,7492.130789,7489.432901,7360.065138,,,7543.986097,7544.070134,7541.882232,7535.692435,7393.097709,,,7539.9,7544.72,7544.72,7544.72,7544.72,,,7519.99,7507.91,7358.75,7318.99,6952.04,,
7758,7648.95,7590.6525,7526.78875,7461.81625,7327.014688,,,7400.016,7399.992119,7400.953111,7401.788444,7346.797944,,,7527.244542,7527.269915,7526.737239,7524.142827,7405.017189,,,7588.583506,7588.662791,7586.572644,7580.824451,7455.824773,,,7758,7758,7758,7758,7758,,,7539.9,7519.99,7358.75,7318.99,6952.04,,
7894.9,7826.45,7678.1975,7583.13375,7496.719375,7347.809062,,,7426.766486,7426.743896,7427.652943,7428.443123,7376.425083,,,7572.422324,7572.447547,7571.894527,7569.39764,7459.523012,,,7647.876894,7647.951751,7645.95534,7640.610115,7531.118132,,,7894.9,7894.9,7894.9,7894.9,7894.9,,,7758,7519.99,7358.75,7318.99,6952.04,,
7883.37,7889.135,7769.0425,7648.71125,7531.993125,7369.137813,,,7450.79825,7450.776849,7451.638051,7452.386643,7403.106394,,,7611.554925,7611.579947,7611.010707,7608.605836,7507.107781,,,7697.344259,7697.414986,7695.508283,7690.531558,7594.73801,,,7894.9,7894.9,7894.9,7894.9,7894.9,,,7883.37,7539.9,7507.91,7334.83,6952.04,,
7895.14,7889.255,7857.8525,7692.99125,7567.0125,7393.060625,,,7473.585007,7473.564703,7474.381741,7475.091943,7428.338887,,,7647.715954,7647.740734,7647.158786,7644.840821,7550.945387,,,7741.794248,7741.861118,7740.040139,7735.401079,7651.732765,,,7895.14,7895.14,7895.14,7895.14,7895.14,,,7883.37,7758,7507.91,7354.11,6952.04,,
7764.59,7829.865,7859.5,7725.07625,7592.6675,7413.49875,,,7488.135256,7488.115968,7488.892154,7489.566846,7445.151442,,,7667.382394,7667.406899,7666.815239,7664.579438,7577.599546,,,7761.617153,7761.680419,7759.941262,7755.612211,7682.697077,,,7895.14,7895.14,7895.14,7895.14,7895.14,,,7764.59,7764.59,7519.99,7358.75,6952.04,,
8073.69,7919.14,7904.1975,7791.1975,7630.02375,7442.683125,,,7516.698902,7516.680555,7517.418878,7518.060659,7475.81186,,,7714.372575,7714.396779,7713.797965,7711.639921,7630.963868,,,7821.538195,7821.598089,7819.936964,7815.893051,7752.531087,,,8073.69,8073.69,8073.69,8073.69,8073.69,,,7764.59,7764.59,7519.99,7358.75,6952.04,,
