1.577836800000000000e+12,7.195239999999999782e+03,7.245000000000000000e+03,7.175460000000000036e+03,7.225010000000000218e+03,2.833749179999999797e+03,1.577851199999000000e+12,2.044589580179560184e+07,3.247600000000000000e+04,1.548865618999999924e+03,1.117659441972042993e+07,0.000000000000000000e+00
1.577851200000000000e+12,7.225000000000000000e+03,7.236270000000000437e+03,7.199109999999999673e+03,7.209829999999999927e+03,2.061295051000000058e+03,1.577865599999000000e+12,1.489018227509305067e+07,2.999100000000000000e+04,1.049711236000000099e+03,7.582850375935619697e+06,0.000000000000000000e+00
1.577865600000000000e+12,7.209829999999999927e+03,7.237729999999999563e+03,7.180000000000000000e+03,7.197199999999999818e+03,3.166654360999999881e+03,1.577879999999000000e+12,2.280731859055887163e+07,3.350700000000000000e+04,1.562344313999999940e+03,1.125369589627295919e+07,0.000000000000000000e+00
1.577880000000000000e+12,7.197199999999999818e+03,7.255000000000000000e+03,7.196149999999999636e+03,7.234189999999999600e+03,3.492537459000000126e+03,1.577894399999000000e+12,2.523555966071408987e+07,3.654900000000000000e+04,2.086279118999999810e+03,1.507670932825344987e+07,0.000000000000000000e+00
1.577894400000000000e+12,7.234199999999999818e+03,7.249989999999999782e+03,7.214000000000000000e+03,7.229479999999999563e+03,2.980583290999999917e+03,1.577908799999000000e+12,2.156177416981082037e+07,3.287700000000000000e+04,1.673060594000000037e+03,1.210415806723685935e+07,0.000000000000000000e+00
1.577908800000000000e+12,7.229479999999999563e+03,7.242979999999999563e+03,7.175149999999999636e+03,7.200850000000000364e+03,2.257568823000000066e+03,1.577923199999000000e+12,1.627372161808984913e+07,2.861000000000000000e+04,1.026694653000000017e+03,7.403777124915019609e+06,0.000000000000000000e+00
1.577923200000000000e+12,7.200770000000000437e+03,7.212500000000000000e+03,7.120369999999999891e+03,7.129609999999999673e+03,3.739354831999999988e+03,1.577937599999000000e+12,2.678955588832981139e+07,4.132100000000000000e+04,1.739234443000000056e+03,1.246310302396426909e+07,0.000000000000000000e+00
1.577937600000000000e+12,7.129250000000000000e+03,7.161000000000000000e+03,7.105000000000000000e+03,7.110569999999999709e+03,4.057961354999999912e+03,1.577951999999000000e+12,2.894557383354036883e+07,4.075300000000000000e+04,1.814541719999999941e+03,1.294458690214649029e+07,0.000000000000000000e+00
1.577952000000000000e+12,7.110979999999999563e+03,7.180000000000000000e+03,7.109109999999999673e+03,7.139789999999999964e+03,4.162203010000000177e+03,1.577966399999000000e+12,2.977168832422763854e+07,4.150200000000000000e+04,2.122933538000000226e+03,1.518551604679916054e+07,0.000000000000000000e+00
1.577966400000000000e+12,7.139729999999999563e+03,7.163399999999999636e+03,7.107430000000000291e+03,7.130979999999999563e+03,4.179041833000000224e+03,1.577980799999000000e+12,2.982165636588821933e+07,4.193300000000000000e+04,1.929323104999999941e+03,1.377135226269946061e+07,0.000000000000000000e+00
1.577980800000000000e+12,7.130369999999999891e+03,7.146850000000000364e+03,6.924739999999999782e+03,6.983270000000000437e+03,1.269902823299999909e+04,1.577995199999000000e+12,8.896785170900554955e+07,1.015770000000000000e+05,5.985886010999999598e+03,4.190258827541363984e+07,0.000000000000000000e+00
1.577995200000000000e+12,6.982630000000000109e+03,6.985000000000000000e+03,6.941270000000000437e+03,6.965710000000000036e+03,3.113894668999999794e+03,1.578009599999000000e+12,2.168601518014870957e+07,3.558100000000000000e+04,1.549692522999999937e+03,1.079368256704162061e+07,0.000000000000000000e+00
1.578009600000000000e+12,6.965489999999999782e+03,6.966800000000000182e+03,6.871039999999999964e+03,6.952039999999999964e+03,7.625896788000000015e+03,1.578023999999000000e+12,5.283631459680639952e+07,6.380200000000000000e+04,3.610621286000000055e+03,2.502282434185554832e+07,0.000000000000000000e+00
1.578024000000000000e+12,6.952039999999999964e+03,7.264710000000000036e+03,6.948640000000000327e+03,7.203210000000000036e+03,1.739730470599999899e+04,1.578038399999000000e+12,1.246980165870897770e+08,1.129600000000000000e+05,9.381141181000000870e+03,6.726560605929410458e+07,0.000000000000000000e+00
1.578038400000000000e+12,7.202279999999999745e+03,7.371920000000000073e+03,7.202279999999999745e+03,7.340460000000000036e+03,1.519688502100000005e+04,1.578052799999000000e+12,1.109765302716847062e+08,1.157880000000000000e+05,7.829598476000000119e+03,5.719040772452469915e+07,0.000000000000000000e+00
1.578052800000000000e+12,7.340460000000000036e+03,7.380000000000000000e+03,7.229300000000000182e+03,7.320180000000000291e+03,1.057898552899999959e+04,1.578067199999000000e+12,7.720517937214705348e+07,8.206100000000000000e+04,5.477115604999999960e+03,3.998775267539162934e+07,0.000000000000000000e+00
1.578067200000000000e+12,7.320170000000000073e+03,7.405000000000000000e+03,7.280000000000000000e+03,7.343079999999999927e+03,1.173508447700000033e+04,1.578081599999000000e+12,8.628522637848328054e+07,8.622000000000000000e+04,6.096294144000000415e+03,4.483914524004635215e+07,0.000000000000000000e+00
1.578081600000000000e+12,7.343619999999999891e+03,7.361000000000000000e+03,7.260010000000000218e+03,7.344960000000000036e+03,5.894343930000000000e+03,1.578095999999000000e+12,4.309731575582422316e+07,5.902300000000000000e+04,3.200725581000000147e+03,2.340737781061625853e+07,0.000000000000000000e+00
1.578096000000000000e+12,7.345000000000000000e+03,7.350000000000000000e+03,7.280850000000000364e+03,7.333109999999999673e+03,3.693784834999999930e+03,1.578110399999000000e+12,2.702074104698006064e+07,4.006400000000000000e+04,1.869494997000000012e+03,1.367729923559031077e+07,0.000000000000000000e+00
